20230917
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
31200 11.52131 10.96178 11.38412 "2023-09-17 14:40:00" "2023-09-17 14:30:00"
31200 11.52131 10.96178 11.51945 "2023-09-17 14:40:00" "2023-09-17 14:40:00"
31800 11.18361 10.52989 10.71352 "2023-09-17 14:50:00" "2023-09-17 14:00:00"
31800 11.18361 10.52989 11.13012 "2023-09-17 14:50:00" "2023-09-17 14:10:00"
31800 11.18361 10.52989 10.08384 "2023-09-17 14:50:00" "2023-09-17 14:20:00"
31800 11.18361 10.52989 10.88740 "2023-09-17 14:50:00" "2023-09-17 14:30:00"
31800 11.18361 10.52989 11.13322 "2023-09-17 14:50:00" "2023-09-17 14:40:00"
31800 11.18361 10.52989 11.17425 "2023-09-17 14:50:00" "2023-09-17 14:50:00"
32400 10.84262 10.16980 10.72874 "2023-09-17 15:00:00" "2023-09-17 14:10:00"
32400 10.84262 10.16980 9.51050 "2023-09-17 15:00:00" "2023-09-17 14:20:00"
32400 10.84262 10.16980 10.44796 "2023-09-17 15:00:00" "2023-09-17 14:30:00"
32400 10.84262 10.16980 10.74901 "2023-09-17 15:00:00" "2023-09-17 14:40:00"
32400 10.84262 10.16980 10.87541 "2023-09-17 15:00:00" "2023-09-17 14:50:00"
32400 10.84262 10.16980 10.81654 "2023-09-17 15:00:00" "2023-09-17 15:00:00"
33000 10.60656 9.92711 9.00040 "2023-09-17 15:10:00" "2023-09-17 14:20:00"
33000 10.60656 9.92711 10.09239 "2023-09-17 15:10:00" "2023-09-17 14:30:00"
33000 10.60656 9.92711 10.44415 "2023-09-17 15:10:00" "2023-09-17 14:40:00"
33000 10.60656 9.92711 10.61627 "2023-09-17 15:10:00" "2023-09-17 14:50:00"
33000 10.60656 9.92711 10.40779 "2023-09-17 15:10:00" "2023-09-17 15:00:00"
33000 10.60656 9.92711 10.65089 "2023-09-17 15:10:00" "2023-09-17 15:10:00"
33600 10.44918 9.76034 9.82242 "2023-09-17 15:20:00" "2023-09-17 14:30:00"
33600 10.44918 9.76034 10.22778 "2023-09-17 15:20:00" "2023-09-17 14:40:00"
33600 10.44918 9.76034 10.43241 "2023-09-17 15:20:00" "2023-09-17 14:50:00"
33600 10.44918 9.76034 10.07522 "2023-09-17 15:20:00" "2023-09-17 15:00:00"
33600 10.44918 9.76034 10.56537 "2023-09-17 15:20:00" "2023-09-17 15:10:00"
33600 10.44918 9.76034 10.44937 "2023-09-17 15:20:00" "2023-09-17 15:20:00"
34200 10.28689 9.60877 10.03919 "2023-09-17 15:30:00" "2023-09-17 14:40:00"
34200 10.28689 9.60877 10.27630 "2023-09-17 15:30:00" "2023-09-17 14:50:00"
34200 10.28689 9.60877 9.84823 "2023-09-17 15:30:00" "2023-09-17 15:00:00"
34200 10.28689 9.60877 10.50727 "2023-09-17 15:30:00" "2023-09-17 15:10:00"
34200 10.28689 9.60877 10.32303 "2023-09-17 15:30:00" "2023-09-17 15:20:00"
