20230926
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
28800 1.57466 3.10935 1.17730 "2023-09-26 14:00:00" "2023-09-26 13:20:00"
28800 1.57466 3.10935 1.21229 "2023-09-26 14:00:00" "2023-09-26 13:30:00"
28800 1.57466 3.10935 1.44825 "2023-09-26 14:00:00" "2023-09-26 13:40:00"
28800 1.57466 3.10935 1.53593 "2023-09-26 14:00:00" "2023-09-26 13:50:00"
28800 1.57466 3.10935 1.66973 "2023-09-26 14:00:00" "2023-09-26 14:00:00"
29400 1.54028 3.23206 1.16065 "2023-09-26 14:10:00" "2023-09-26 13:20:00"
29400 1.54028 3.23206 1.19475 "2023-09-26 14:10:00" "2023-09-26 13:30:00"
29400 1.54028 3.23206 1.46106 "2023-09-26 14:10:00" "2023-09-26 13:40:00"
29400 1.54028 3.23206 1.57800 "2023-09-26 14:10:00" "2023-09-26 13:50:00"
29400 1.54028 3.23206 1.81501 "2023-09-26 14:10:00" "2023-09-26 14:00:00"
29400 1.54028 3.23206 1.50646 "2023-09-26 14:10:00" "2023-09-26 14:10:00"
30000 1.76044 3.52384 1.26848 "2023-09-26 14:20:00" "2023-09-26 13:30:00"
30000 1.76044 3.52384 1.55062 "2023-09-26 14:20:00" "2023-09-26 13:40:00"
30000 1.76044 3.52384 1.69179 "2023-09-26 14:20:00" "2023-09-26 13:50:00"
30000 1.76044 3.52384 2.00743 "2023-09-26 14:20:00" "2023-09-26 14:00:00"
30000 1.76044 3.52384 1.55662 "2023-09-26 14:20:00" "2023-09-26 14:10:00"
30000 1.76044 3.52384 1.77026 "2023-09-26 14:20:00" "2023-09-26 14:20:00"
30600 1.94452 3.92983 1.72916 "2023-09-26 14:30:00" "2023-09-26 13:40:00"
30600 1.94452 3.92983 1.89041 "2023-09-26 14:30:00" "2023-09-26 13:50:00"
30600 1.94452 3.92983 2.27141 "2023-09-26 14:30:00" "2023-09-26 14:00:00"
30600 1.94452 3.92983 1.70361 "2023-09-26 14:30:00" "2023-09-26 14:10:00"
30600 1.94452 3.92983 1.99538 "2023-09-26 14:30:00" "2023-09-26 14:20:00"
