20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
27600 16.50956 10.86795 17.01779 "2023-09-18 13:40:00" "2023-09-18 12:50:00"
27600 16.50956 10.86795 16.54449 "2023-09-18 13:40:00" "2023-09-18 13:00:00"
27600 16.50956 10.86795 16.40525 "2023-09-18 13:40:00" "2023-09-18 13:10:00"
27600 16.50956 10.86795 16.76625 "2023-09-18 13:40:00" "2023-09-18 13:20:00"
27600 16.50956 10.86795 16.29918 "2023-09-18 13:40:00" "2023-09-18 13:30:00"
27600 16.50956 10.86795 16.37586 "2023-09-18 13:40:00" "2023-09-18 13:40:00"
28200 16.44689 10.93015 16.21476 "2023-09-18 13:50:00" "2023-09-18 13:00:00"
28200 16.44689 10.93015 16.05549 "2023-09-18 13:50:00" "2023-09-18 13:10:00"
28200 16.44689 10.93015 16.51510 "2023-09-18 13:50:00" "2023-09-18 13:20:00"
28200 16.44689 10.93015 15.90215 "2023-09-18 13:50:00" "2023-09-18 13:30:00"
28200 16.44689 10.93015 15.98275 "2023-09-18 13:50:00" "2023-09-18 13:40:00"
28200 16.44689 10.93015 16.39386 "2023-09-18 13:50:00" "2023-09-18 13:50:00"
28800 16.24707 11.30233 15.82008 "2023-09-18 14:00:00" "2023-09-18 13:10:00"
28800 16.24707 11.30233 16.35660 "2023-09-18 14:00:00" "2023-09-18 13:20:00"
28800 16.24707 11.30233 15.62416 "2023-09-18 14:00:00" "2023-09-18 13:30:00"
28800 16.24707 11.30233 15.70864 "2023-09-18 14:00:00" "2023-09-18 13:40:00"
28800 16.24707 11.30233 16.46206 "2023-09-18 14:00:00" "2023-09-18 13:50:00"
28800 16.24707 11.30233 16.40381 "2023-09-18 14:00:00" "2023-09-18 14:00:00"
29400 16.04805 11.50960 16.32161 "2023-09-18 14:10:00" "2023-09-18 13:20:00"
29400 16.04805 11.50960 15.48860 "2023-09-18 14:10:00" "2023-09-18 13:30:00"
29400 16.04805 11.50960 15.57672 "2023-09-18 14:10:00" "2023-09-18 13:40:00"
29400 16.04805 11.50960 16.56810 "2023-09-18 14:10:00" "2023-09-18 13:50:00"
29400 16.04805 11.50960 16.50388 "2023-09-18 14:10:00" "2023-09-18 14:00:00"
29400 16.04805 11.50960 16.16689 "2023-09-18 14:10:00" "2023-09-18 14:10:00"
30000 15.99918 11.69861 15.24080 "2023-09-18 14:20:00" "2023-09-18 13:30:00"
30000 15.99918 11.69861 15.33246 "2023-09-18 14:20:00" "2023-09-18 13:40:00"
30000 15.99918 11.69861 16.52182 "2023-09-18 14:20:00" "2023-09-18 13:50:00"
30000 15.99918 11.69861 16.45204 "2023-09-18 14:20:00" "2023-09-18 14:00:00"
30000 15.99918 11.69861 15.96598 "2023-09-18 14:20:00" "2023-09-18 14:10:00"
30000 15.99918 11.69861 16.09793 "2023-09-18 14:20:00" "2023-09-18 14:20:00"
30600 15.97325 11.89291 15.05514 "2023-09-18 14:30:00" "2023-09-18 13:40:00"
30600 15.97325 11.89291 16.40360 "2023-09-18 14:30:00" "2023-09-18 13:50:00"
30600 15.97325 11.89291 16.33051 "2023-09-18 14:30:00" "2023-09-18 14:00:00"
30600 15.97325 11.89291 15.71977 "2023-09-18 14:30:00" "2023-09-18 14:10:00"
30600 15.97325 11.89291 15.97979 "2023-09-18 14:30:00" "2023-09-18 14:20:00"
30600 15.97325 11.89291 16.01849 "2023-09-18 14:30:00" "2023-09-18 14:30:00"
31200 15.88052 11.98661 16.34674 "2023-09-18 14:40:00" "2023-09-18 13:50:00"
31200 15.88052 11.98661 16.27070 "2023-09-18 14:40:00" "2023-09-18 14:00:00"
31200 15.88052 11.98661 15.55825 "2023-09-18 14:40:00" "2023-09-18 14:10:00"
31200 15.88052 11.98661 15.90016 "2023-09-18 14:40:00" "2023-09-18 14:20:00"
31200 15.88052 11.98661 15.98545 "2023-09-18 14:40:00" "2023-09-18 14:30:00"
31200 15.88052 11.98661 15.98946 "2023-09-18 14:40:00" "2023-09-18 14:40:00"
31800 15.75798 12.00334 16.33914 "2023-09-18 14:50:00" "2023-09-18 14:00:00"
31800 15.75798 12.00334 15.54609 "2023-09-18 14:50:00" "2023-09-18 14:10:00"
31800 15.75798 12.00334 15.95455 "2023-09-18 14:50:00" "2023-09-18 14:20:00"
31800 15.75798 12.00334 16.06639 "2023-09-18 14:50:00" "2023-09-18 14:30:00"
31800 15.75798 12.00334 16.05285 "2023-09-18 14:50:00" "2023-09-18 14:40:00"
31800 15.75798 12.00334 15.89042 "2023-09-18 14:50:00" "2023-09-18 14:50:00"
