20230902
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
37200 11.96841 12.32304 13.62900 "2023-09-02 16:20:00" "2023-09-02 15:30:00"
37200 11.96841 12.32304 13.96500 "2023-09-02 16:20:00" "2023-09-02 15:40:00"
37200 11.96841 12.32304 12.55200 "2023-09-02 16:20:00" "2023-09-02 15:50:00"
37200 11.96841 12.32304 11.46700 "2023-09-02 16:20:00" "2023-09-02 16:00:00"
37200 11.96841 12.32304 11.41900 "2023-09-02 16:20:00" "2023-09-02 16:10:00"
37200 11.96841 12.32304 11.73900 "2023-09-02 16:20:00" "2023-09-02 16:20:00"
37800 12.24475 12.42902 13.96500 "2023-09-02 16:30:00" "2023-09-02 15:40:00"
37800 12.24475 12.42902 12.55200 "2023-09-02 16:30:00" "2023-09-02 15:50:00"
37800 12.24475 12.42902 11.46700 "2023-09-02 16:30:00" "2023-09-02 16:00:00"
37800 12.24475 12.42902 11.41900 "2023-09-02 16:30:00" "2023-09-02 16:10:00"
37800 12.24475 12.42902 11.73900 "2023-09-02 16:30:00" "2023-09-02 16:20:00"
37800 12.24475 12.42902 11.25300 "2023-09-02 16:30:00" "2023-09-02 16:30:00"
38400 12.60016 12.21362 12.55200 "2023-09-02 16:40:00" "2023-09-02 15:50:00"
38400 12.60016 12.21362 11.46700 "2023-09-02 16:40:00" "2023-09-02 16:00:00"
38400 12.60016 12.21362 11.41900 "2023-09-02 16:40:00" "2023-09-02 16:10:00"
38400 12.60016 12.21362 11.73900 "2023-09-02 16:40:00" "2023-09-02 16:20:00"
38400 12.60016 12.21362 11.25300 "2023-09-02 16:40:00" "2023-09-02 16:30:00"
38400 12.60016 12.21362 11.85800 "2023-09-02 16:40:00" "2023-09-02 16:40:00"
39000 13.06926 12.14040 11.46700 "2023-09-02 16:50:00" "2023-09-02 16:00:00"
39000 13.06926 12.14040 11.41900 "2023-09-02 16:50:00" "2023-09-02 16:10:00"
39000 13.06926 12.14040 11.73900 "2023-09-02 16:50:00" "2023-09-02 16:20:00"
39000 13.06926 12.14040 11.25300 "2023-09-02 16:50:00" "2023-09-02 16:30:00"
39000 13.06926 12.14040 11.85800 "2023-09-02 16:50:00" "2023-09-02 16:40:00"
39000 13.06926 12.14040 12.96300 "2023-09-02 16:50:00" "2023-09-02 16:50:00"
39600 13.66267 11.95394 11.41900 "2023-09-02 17:00:00" "2023-09-02 16:10:00"
39600 13.66267 11.95394 11.73900 "2023-09-02 17:00:00" "2023-09-02 16:20:00"
39600 13.66267 11.95394 11.25300 "2023-09-02 17:00:00" "2023-09-02 16:30:00"
39600 13.66267 11.95394 11.85800 "2023-09-02 17:00:00" "2023-09-02 16:40:00"
39600 13.66267 11.95394 12.96300 "2023-09-02 17:00:00" "2023-09-02 16:50:00"
39600 13.66267 11.95394 13.41600 "2023-09-02 17:00:00" "2023-09-02 17:00:00"
40200 14.15290 12.08937 11.73900 "2023-09-02 17:10:00" "2023-09-02 16:20:00"
40200 14.15290 12.08937 11.25300 "2023-09-02 17:10:00" "2023-09-02 16:30:00"
40200 14.15290 12.08937 11.85800 "2023-09-02 17:10:00" "2023-09-02 16:40:00"
40200 14.15290 12.08937 12.96300 "2023-09-02 17:10:00" "2023-09-02 16:50:00"
40200 14.15290 12.08937 13.41600 "2023-09-02 17:10:00" "2023-09-02 17:00:00"
40200 14.15290 12.08937 13.42700 "2023-09-02 17:10:00" "2023-09-02 17:10:00"
