20230925
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
36600 4.40189 7.46615 4.15800 "2023-09-26 04:10:00" "2023-09-26 03:30:00"
36600 4.40189 7.46615 4.59671 "2023-09-26 04:10:00" "2023-09-26 03:40:00"
36600 4.40189 7.46615 4.06986 "2023-09-26 04:10:00" "2023-09-26 03:50:00"
36600 4.40189 7.46615 4.26871 "2023-09-26 04:10:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 4.65287 "2023-09-26 04:10:00" "2023-09-26 04:10:00"
36600 4.40189 7.46615 3.51114 "2023-09-26 04:10:00" "2023-09-26 03:20:00"
36600 4.40189 7.46615 4.15800 "2023-09-26 04:10:00" "2023-09-26 03:30:00"
36600 4.40189 7.46615 4.59671 "2023-09-26 04:10:00" "2023-09-26 03:40:00"
36600 4.40189 7.46615 4.06986 "2023-09-26 04:10:00" "2023-09-26 03:50:00"
36600 4.40189 7.46615 4.26871 "2023-09-26 04:10:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 4.65287 "2023-09-26 04:10:00" "2023-09-26 04:10:00"
36600 4.40189 7.46615 3.51114 "2023-09-26 04:10:00" "2023-09-26 03:20:00"
36600 4.40189 7.46615 4.15800 "2023-09-26 04:10:00" "2023-09-26 03:30:00"
36600 4.40189 7.46615 4.59671 "2023-09-26 04:10:00" "2023-09-26 03:40:00"
36600 4.40189 7.46615 4.06986 "2023-09-26 04:10:00" "2023-09-26 03:50:00"
36600 4.40189 7.46615 4.26871 "2023-09-26 04:10:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 4.65287 "2023-09-26 04:10:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 4.15800 "2023-09-26 04:20:00" "2023-09-26 03:30:00"
37200 4.78346 7.46309 4.59671 "2023-09-26 04:20:00" "2023-09-26 03:40:00"
37200 4.78346 7.46309 4.06986 "2023-09-26 04:20:00" "2023-09-26 03:50:00"
37200 4.78346 7.46309 4.26871 "2023-09-26 04:20:00" "2023-09-26 04:00:00"
37200 4.78346 7.46309 4.65287 "2023-09-26 04:20:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 6.02371 "2023-09-26 04:20:00" "2023-09-26 04:20:00"
37200 4.78346 7.46309 4.15800 "2023-09-26 04:20:00" "2023-09-26 03:30:00"
37200 4.78346 7.46309 4.59671 "2023-09-26 04:20:00" "2023-09-26 03:40:00"
37200 4.78346 7.46309 4.06986 "2023-09-26 04:20:00" "2023-09-26 03:50:00"
37200 4.78346 7.46309 4.26871 "2023-09-26 04:20:00" "2023-09-26 04:00:00"
37200 4.78346 7.46309 4.65287 "2023-09-26 04:20:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 6.02371 "2023-09-26 04:20:00" "2023-09-26 04:20:00"
37200 4.78346 7.46309 4.15800 "2023-09-26 04:20:00" "2023-09-26 03:30:00"
37200 4.78346 7.46309 4.59671 "2023-09-26 04:20:00" "2023-09-26 03:40:00"
37200 4.78346 7.46309 4.06986 "2023-09-26 04:20:00" "2023-09-26 03:50:00"
37200 4.78346 7.46309 4.26871 "2023-09-26 04:20:00" "2023-09-26 04:00:00"
37200 4.78346 7.46309 4.65287 "2023-09-26 04:20:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 6.02371 "2023-09-26 04:20:00" "2023-09-26 04:20:00"
37200 4.78346 7.46309 4.15800 "2023-09-26 04:20:00" "2023-09-26 03:30:00"
37200 4.78346 7.46309 4.59671 "2023-09-26 04:20:00" "2023-09-26 03:40:00"
37200 4.78346 7.46309 4.06986 "2023-09-26 04:20:00" "2023-09-26 03:50:00"
37200 4.78346 7.46309 4.26871 "2023-09-26 04:20:00" "2023-09-26 04:00:00"
37200 4.78346 7.46309 4.65287 "2023-09-26 04:20:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 6.02371 "2023-09-26 04:20:00" "2023-09-26 04:20:00"
37200 4.78346 7.46309 4.15800 "2023-09-26 04:20:00" "2023-09-26 03:30:00"
37200 4.78346 7.46309 4.59671 "2023-09-26 04:20:00" "2023-09-26 03:40:00"
37200 4.78346 7.46309 4.06986 "2023-09-26 04:20:00" "2023-09-26 03:50:00"
37200 4.78346 7.46309 4.26871 "2023-09-26 04:20:00" "2023-09-26 04:00:00"
37200 4.78346 7.46309 4.65287 "2023-09-26 04:20:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 6.02371 "2023-09-26 04:20:00" "2023-09-26 04:20:00"
37200 4.78346 7.46309 4.15800 "2023-09-26 04:20:00" "2023-09-26 03:30:00"
37200 4.78346 7.46309 4.59671 "2023-09-26 04:20:00" "2023-09-26 03:40:00"
37200 4.78346 7.46309 4.06986 "2023-09-26 04:20:00" "2023-09-26 03:50:00"
37200 4.78346 7.46309 4.26871 "2023-09-26 04:20:00" "2023-09-26 04:00:00"
37200 4.78346 7.46309 4.65287 "2023-09-26 04:20:00" "2023-09-26 04:10:00"
37200 4.78346 7.46309 6.02371 "2023-09-26 04:20:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 4.59671 "2023-09-26 04:30:00" "2023-09-26 03:40:00"
37800 5.06921 7.49041 4.06986 "2023-09-26 04:30:00" "2023-09-26 03:50:00"
37800 5.06921 7.49041 4.26871 "2023-09-26 04:30:00" "2023-09-26 04:00:00"
37800 5.06921 7.49041 4.65287 "2023-09-26 04:30:00" "2023-09-26 04:10:00"
37800 5.06921 7.49041 6.02371 "2023-09-26 04:30:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 6.48600 "2023-09-26 04:30:00" "2023-09-26 04:30:00"
37800 5.06921 7.49041 4.59671 "2023-09-26 04:30:00" "2023-09-26 03:40:00"
37800 5.06921 7.49041 4.06986 "2023-09-26 04:30:00" "2023-09-26 03:50:00"
37800 5.06921 7.49041 4.26871 "2023-09-26 04:30:00" "2023-09-26 04:00:00"
37800 5.06921 7.49041 4.65287 "2023-09-26 04:30:00" "2023-09-26 04:10:00"
37800 5.06921 7.49041 6.02371 "2023-09-26 04:30:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 6.48600 "2023-09-26 04:30:00" "2023-09-26 04:30:00"
37800 5.06921 7.49041 4.59671 "2023-09-26 04:30:00" "2023-09-26 03:40:00"
37800 5.06921 7.49041 4.06986 "2023-09-26 04:30:00" "2023-09-26 03:50:00"
37800 5.06921 7.49041 4.26871 "2023-09-26 04:30:00" "2023-09-26 04:00:00"
37800 5.06921 7.49041 4.65287 "2023-09-26 04:30:00" "2023-09-26 04:10:00"
37800 5.06921 7.49041 6.02371 "2023-09-26 04:30:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 6.48600 "2023-09-26 04:30:00" "2023-09-26 04:30:00"
37800 5.06921 7.49041 4.59671 "2023-09-26 04:30:00" "2023-09-26 03:40:00"
37800 5.06921 7.49041 4.06986 "2023-09-26 04:30:00" "2023-09-26 03:50:00"
37800 5.06921 7.49041 4.26871 "2023-09-26 04:30:00" "2023-09-26 04:00:00"
37800 5.06921 7.49041 4.65287 "2023-09-26 04:30:00" "2023-09-26 04:10:00"
37800 5.06921 7.49041 6.02371 "2023-09-26 04:30:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 6.48600 "2023-09-26 04:30:00" "2023-09-26 04:30:00"
37800 5.06921 7.49041 4.59671 "2023-09-26 04:30:00" "2023-09-26 03:40:00"
37800 5.06921 7.49041 4.06986 "2023-09-26 04:30:00" "2023-09-26 03:50:00"
37800 5.06921 7.49041 4.26871 "2023-09-26 04:30:00" "2023-09-26 04:00:00"
37800 5.06921 7.49041 4.65287 "2023-09-26 04:30:00" "2023-09-26 04:10:00"
37800 5.06921 7.49041 6.02371 "2023-09-26 04:30:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 6.48600 "2023-09-26 04:30:00" "2023-09-26 04:30:00"
37800 5.06921 7.49041 4.59671 "2023-09-26 04:30:00" "2023-09-26 03:40:00"
37800 5.06921 7.49041 4.06986 "2023-09-26 04:30:00" "2023-09-26 03:50:00"
37800 5.06921 7.49041 4.26871 "2023-09-26 04:30:00" "2023-09-26 04:00:00"
37800 5.06921 7.49041 4.65287 "2023-09-26 04:30:00" "2023-09-26 04:10:00"
37800 5.06921 7.49041 6.02371 "2023-09-26 04:30:00" "2023-09-26 04:20:00"
37800 5.06921 7.49041 6.48600 "2023-09-26 04:30:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 4.06986 "2023-09-26 04:40:00" "2023-09-26 03:50:00"
38400 5.20093 7.59466 4.26871 "2023-09-26 04:40:00" "2023-09-26 04:00:00"
38400 5.20093 7.59466 4.65287 "2023-09-26 04:40:00" "2023-09-26 04:10:00"
38400 5.20093 7.59466 6.02371 "2023-09-26 04:40:00" "2023-09-26 04:20:00"
38400 5.20093 7.59466 6.48600 "2023-09-26 04:40:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 5.18017 "2023-09-26 04:40:00" "2023-09-26 04:40:00"
38400 5.20093 7.59466 4.06986 "2023-09-26 04:40:00" "2023-09-26 03:50:00"
38400 5.20093 7.59466 4.26871 "2023-09-26 04:40:00" "2023-09-26 04:00:00"
38400 5.20093 7.59466 4.65287 "2023-09-26 04:40:00" "2023-09-26 04:10:00"
38400 5.20093 7.59466 6.02371 "2023-09-26 04:40:00" "2023-09-26 04:20:00"
38400 5.20093 7.59466 6.48600 "2023-09-26 04:40:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 5.18017 "2023-09-26 04:40:00" "2023-09-26 04:40:00"
38400 5.20093 7.59466 4.06986 "2023-09-26 04:40:00" "2023-09-26 03:50:00"
38400 5.20093 7.59466 4.26871 "2023-09-26 04:40:00" "2023-09-26 04:00:00"
38400 5.20093 7.59466 4.65287 "2023-09-26 04:40:00" "2023-09-26 04:10:00"
38400 5.20093 7.59466 6.02371 "2023-09-26 04:40:00" "2023-09-26 04:20:00"
38400 5.20093 7.59466 6.48600 "2023-09-26 04:40:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 5.18017 "2023-09-26 04:40:00" "2023-09-26 04:40:00"
38400 5.20093 7.59466 4.06986 "2023-09-26 04:40:00" "2023-09-26 03:50:00"
38400 5.20093 7.59466 4.26871 "2023-09-26 04:40:00" "2023-09-26 04:00:00"
38400 5.20093 7.59466 4.65287 "2023-09-26 04:40:00" "2023-09-26 04:10:00"
38400 5.20093 7.59466 6.02371 "2023-09-26 04:40:00" "2023-09-26 04:20:00"
38400 5.20093 7.59466 6.48600 "2023-09-26 04:40:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 5.18017 "2023-09-26 04:40:00" "2023-09-26 04:40:00"
38400 5.20093 7.59466 4.06986 "2023-09-26 04:40:00" "2023-09-26 03:50:00"
38400 5.20093 7.59466 4.26871 "2023-09-26 04:40:00" "2023-09-26 04:00:00"
38400 5.20093 7.59466 4.65287 "2023-09-26 04:40:00" "2023-09-26 04:10:00"
38400 5.20093 7.59466 6.02371 "2023-09-26 04:40:00" "2023-09-26 04:20:00"
38400 5.20093 7.59466 6.48600 "2023-09-26 04:40:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 5.18017 "2023-09-26 04:40:00" "2023-09-26 04:40:00"
38400 5.20093 7.59466 4.06986 "2023-09-26 04:40:00" "2023-09-26 03:50:00"
38400 5.20093 7.59466 4.26871 "2023-09-26 04:40:00" "2023-09-26 04:00:00"
38400 5.20093 7.59466 4.65287 "2023-09-26 04:40:00" "2023-09-26 04:10:00"
38400 5.20093 7.59466 6.02371 "2023-09-26 04:40:00" "2023-09-26 04:20:00"
38400 5.20093 7.59466 6.48600 "2023-09-26 04:40:00" "2023-09-26 04:30:00"
38400 5.20093 7.59466 5.18017 "2023-09-26 04:40:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 4.26871 "2023-09-26 04:50:00" "2023-09-26 04:00:00"
39000 5.40171 7.56309 4.65287 "2023-09-26 04:50:00" "2023-09-26 04:10:00"
39000 5.40171 7.56309 6.02371 "2023-09-26 04:50:00" "2023-09-26 04:20:00"
39000 5.40171 7.56309 6.48600 "2023-09-26 04:50:00" "2023-09-26 04:30:00"
39000 5.40171 7.56309 5.18017 "2023-09-26 04:50:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 5.38700 "2023-09-26 04:50:00" "2023-09-26 04:50:00"
39000 5.40171 7.56309 4.26871 "2023-09-26 04:50:00" "2023-09-26 04:00:00"
39000 5.40171 7.56309 4.65287 "2023-09-26 04:50:00" "2023-09-26 04:10:00"
39000 5.40171 7.56309 6.02371 "2023-09-26 04:50:00" "2023-09-26 04:20:00"
39000 5.40171 7.56309 6.48600 "2023-09-26 04:50:00" "2023-09-26 04:30:00"
39000 5.40171 7.56309 5.18017 "2023-09-26 04:50:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 5.38700 "2023-09-26 04:50:00" "2023-09-26 04:50:00"
39000 5.40171 7.56309 4.26871 "2023-09-26 04:50:00" "2023-09-26 04:00:00"
39000 5.40171 7.56309 4.65287 "2023-09-26 04:50:00" "2023-09-26 04:10:00"
39000 5.40171 7.56309 6.02371 "2023-09-26 04:50:00" "2023-09-26 04:20:00"
39000 5.40171 7.56309 6.48600 "2023-09-26 04:50:00" "2023-09-26 04:30:00"
39000 5.40171 7.56309 5.18017 "2023-09-26 04:50:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 5.38700 "2023-09-26 04:50:00" "2023-09-26 04:50:00"
39000 5.40171 7.56309 4.26871 "2023-09-26 04:50:00" "2023-09-26 04:00:00"
39000 5.40171 7.56309 4.65287 "2023-09-26 04:50:00" "2023-09-26 04:10:00"
39000 5.40171 7.56309 6.02371 "2023-09-26 04:50:00" "2023-09-26 04:20:00"
39000 5.40171 7.56309 6.48600 "2023-09-26 04:50:00" "2023-09-26 04:30:00"
39000 5.40171 7.56309 5.18017 "2023-09-26 04:50:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 5.38700 "2023-09-26 04:50:00" "2023-09-26 04:50:00"
39000 5.40171 7.56309 4.26871 "2023-09-26 04:50:00" "2023-09-26 04:00:00"
39000 5.40171 7.56309 4.65287 "2023-09-26 04:50:00" "2023-09-26 04:10:00"
39000 5.40171 7.56309 6.02371 "2023-09-26 04:50:00" "2023-09-26 04:20:00"
39000 5.40171 7.56309 6.48600 "2023-09-26 04:50:00" "2023-09-26 04:30:00"
39000 5.40171 7.56309 5.18017 "2023-09-26 04:50:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 5.38700 "2023-09-26 04:50:00" "2023-09-26 04:50:00"
