20230902
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
35400 2.35477 1.97455 2.20257 "2023-09-03 03:50:00" "2023-09-03 03:20:00"
35400 2.35477 1.97455 2.29280 "2023-09-03 03:50:00" "2023-09-03 03:30:00"
35400 2.35477 1.97455 2.21781 "2023-09-03 03:50:00" "2023-09-03 03:40:00"
35400 2.35477 1.97455 2.13573 "2023-09-03 03:50:00" "2023-09-03 03:50:00"
36000 1.93717 1.92674 2.32403 "2023-09-03 04:00:00" "2023-09-03 03:10:00"
36000 1.93717 1.92674 2.20192 "2023-09-03 04:00:00" "2023-09-03 03:20:00"
36000 1.93717 1.92674 2.30860 "2023-09-03 04:00:00" "2023-09-03 03:30:00"
36000 1.93717 1.92674 2.20840 "2023-09-03 04:00:00" "2023-09-03 03:40:00"
36000 1.93717 1.92674 2.07377 "2023-09-03 04:00:00" "2023-09-03 03:50:00"
36000 1.93717 1.92674 1.97305 "2023-09-03 04:00:00" "2023-09-03 04:00:00"
36600 1.77510 1.84632 2.19216 "2023-09-03 04:10:00" "2023-09-03 03:20:00"
36600 1.77510 1.84632 2.30923 "2023-09-03 04:10:00" "2023-09-03 03:30:00"
36600 1.77510 1.84632 2.18834 "2023-09-03 04:10:00" "2023-09-03 03:40:00"
36600 1.77510 1.84632 2.01307 "2023-09-03 04:10:00" "2023-09-03 03:50:00"
36600 1.77510 1.84632 1.84989 "2023-09-03 04:10:00" "2023-09-03 04:00:00"
36600 1.77510 1.84632 1.86942 "2023-09-03 04:10:00" "2023-09-03 04:10:00"
37200 1.89894 1.78022 2.28413 "2023-09-03 04:20:00" "2023-09-03 03:30:00"
37200 1.89894 1.78022 2.14609 "2023-09-03 04:20:00" "2023-09-03 03:40:00"
37200 1.89894 1.78022 1.93602 "2023-09-03 04:20:00" "2023-09-03 03:50:00"
37200 1.89894 1.78022 1.72115 "2023-09-03 04:20:00" "2023-09-03 04:00:00"
37200 1.89894 1.78022 1.78124 "2023-09-03 04:20:00" "2023-09-03 04:10:00"
37200 1.89894 1.78022 1.88946 "2023-09-03 04:20:00" "2023-09-03 04:20:00"
37800 1.90340 1.78066 2.09478 "2023-09-03 04:30:00" "2023-09-03 03:40:00"
37800 1.90340 1.78066 1.85716 "2023-09-03 04:30:00" "2023-09-03 03:50:00"
37800 1.90340 1.78066 1.59886 "2023-09-03 04:30:00" "2023-09-03 04:00:00"
37800 1.90340 1.78066 1.68537 "2023-09-03 04:30:00" "2023-09-03 04:10:00"
37800 1.90340 1.78066 1.85710 "2023-09-03 04:30:00" "2023-09-03 04:20:00"
38400 1.86974 1.78598 1.75149 "2023-09-03 04:40:00" "2023-09-03 03:50:00"
38400 1.86974 1.78598 1.45692 "2023-09-03 04:40:00" "2023-09-03 04:00:00"
38400 1.86974 1.78598 1.56294 "2023-09-03 04:40:00" "2023-09-03 04:10:00"
38400 1.86974 1.78598 1.78122 "2023-09-03 04:40:00" "2023-09-03 04:20:00"
39000 1.86600 1.82323 1.35527 "2023-09-03 04:50:00" "2023-09-03 04:00:00"
39000 1.86600 1.82323 1.48168 "2023-09-03 04:50:00" "2023-09-03 04:10:00"
39000 1.86600 1.82323 1.74149 "2023-09-03 04:50:00" "2023-09-03 04:20:00"
39600 1.94368 1.87906 1.47252 "2023-09-03 05:00:00" "2023-09-03 04:10:00"
39600 1.94368 1.87906 1.76232 "2023-09-03 05:00:00" "2023-09-03 04:20:00"
40200 2.16731 1.93380 1.79598 "2023-09-03 05:10:00" "2023-09-03 04:20:00"
