20230926
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
40800 18.06219 56.74880 19.68571 "2023-09-27 05:20:00" "2023-09-27 04:40:00"
40800 18.06219 56.74880 16.23750 "2023-09-27 05:20:00" "2023-09-27 04:50:00"
40800 18.06219 56.74880 29.11429 "2023-09-27 05:20:00" "2023-09-27 05:00:00"
40800 18.06219 56.74880 13.77143 "2023-09-27 05:20:00" "2023-09-27 05:10:00"
40800 18.06219 56.74880 14.57143 "2023-09-27 05:20:00" "2023-09-27 05:20:00"
40800 18.06219 56.74880 18.90000 "2023-09-27 05:20:00" "2023-09-27 04:30:00"
40800 18.06219 56.74880 19.68571 "2023-09-27 05:20:00" "2023-09-27 04:40:00"
40800 18.06219 56.74880 16.23750 "2023-09-27 05:20:00" "2023-09-27 04:50:00"
40800 18.06219 56.74880 29.11429 "2023-09-27 05:20:00" "2023-09-27 05:00:00"
40800 18.06219 56.74880 13.77143 "2023-09-27 05:20:00" "2023-09-27 05:10:00"
40800 18.06219 56.74880 14.57143 "2023-09-27 05:20:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 19.68571 "2023-09-27 05:30:00" "2023-09-27 04:40:00"
41400 18.50416 55.64297 16.23750 "2023-09-27 05:30:00" "2023-09-27 04:50:00"
41400 18.50416 55.64297 29.11429 "2023-09-27 05:30:00" "2023-09-27 05:00:00"
41400 18.50416 55.64297 13.77143 "2023-09-27 05:30:00" "2023-09-27 05:10:00"
41400 18.50416 55.64297 14.57143 "2023-09-27 05:30:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 14.17143 "2023-09-27 05:30:00" "2023-09-27 05:30:00"
41400 18.50416 55.64297 19.68571 "2023-09-27 05:30:00" "2023-09-27 04:40:00"
41400 18.50416 55.64297 16.23750 "2023-09-27 05:30:00" "2023-09-27 04:50:00"
41400 18.50416 55.64297 29.11429 "2023-09-27 05:30:00" "2023-09-27 05:00:00"
41400 18.50416 55.64297 13.77143 "2023-09-27 05:30:00" "2023-09-27 05:10:00"
41400 18.50416 55.64297 14.57143 "2023-09-27 05:30:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 14.17143 "2023-09-27 05:30:00" "2023-09-27 05:30:00"
41400 18.50416 55.64297 19.68571 "2023-09-27 05:30:00" "2023-09-27 04:40:00"
41400 18.50416 55.64297 16.23750 "2023-09-27 05:30:00" "2023-09-27 04:50:00"
41400 18.50416 55.64297 29.11429 "2023-09-27 05:30:00" "2023-09-27 05:00:00"
41400 18.50416 55.64297 13.77143 "2023-09-27 05:30:00" "2023-09-27 05:10:00"
41400 18.50416 55.64297 14.57143 "2023-09-27 05:30:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 14.17143 "2023-09-27 05:30:00" "2023-09-27 05:30:00"
41400 18.50416 55.64297 19.68571 "2023-09-27 05:30:00" "2023-09-27 04:40:00"
41400 18.50416 55.64297 16.23750 "2023-09-27 05:30:00" "2023-09-27 04:50:00"
41400 18.50416 55.64297 29.11429 "2023-09-27 05:30:00" "2023-09-27 05:00:00"
41400 18.50416 55.64297 13.77143 "2023-09-27 05:30:00" "2023-09-27 05:10:00"
41400 18.50416 55.64297 14.57143 "2023-09-27 05:30:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 14.17143 "2023-09-27 05:30:00" "2023-09-27 05:30:00"
41400 18.50416 55.64297 19.68571 "2023-09-27 05:30:00" "2023-09-27 04:40:00"
41400 18.50416 55.64297 16.23750 "2023-09-27 05:30:00" "2023-09-27 04:50:00"
41400 18.50416 55.64297 29.11429 "2023-09-27 05:30:00" "2023-09-27 05:00:00"
41400 18.50416 55.64297 13.77143 "2023-09-27 05:30:00" "2023-09-27 05:10:00"
41400 18.50416 55.64297 14.57143 "2023-09-27 05:30:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 14.17143 "2023-09-27 05:30:00" "2023-09-27 05:30:00"
41400 18.50416 55.64297 19.68571 "2023-09-27 05:30:00" "2023-09-27 04:40:00"
41400 18.50416 55.64297 16.23750 "2023-09-27 05:30:00" "2023-09-27 04:50:00"
41400 18.50416 55.64297 29.11429 "2023-09-27 05:30:00" "2023-09-27 05:00:00"
41400 18.50416 55.64297 13.77143 "2023-09-27 05:30:00" "2023-09-27 05:10:00"
41400 18.50416 55.64297 14.57143 "2023-09-27 05:30:00" "2023-09-27 05:20:00"
41400 18.50416 55.64297 14.17143 "2023-09-27 05:30:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 16.23750 "2023-09-27 05:40:00" "2023-09-27 04:50:00"
42000 21.73081 55.75888 29.11429 "2023-09-27 05:40:00" "2023-09-27 05:00:00"
42000 21.73081 55.75888 13.77143 "2023-09-27 05:40:00" "2023-09-27 05:10:00"
42000 21.73081 55.75888 14.57143 "2023-09-27 05:40:00" "2023-09-27 05:20:00"
42000 21.73081 55.75888 14.17143 "2023-09-27 05:40:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 31.56250 "2023-09-27 05:40:00" "2023-09-27 05:40:00"
42000 21.73081 55.75888 16.23750 "2023-09-27 05:40:00" "2023-09-27 04:50:00"
42000 21.73081 55.75888 29.11429 "2023-09-27 05:40:00" "2023-09-27 05:00:00"
42000 21.73081 55.75888 13.77143 "2023-09-27 05:40:00" "2023-09-27 05:10:00"
42000 21.73081 55.75888 14.57143 "2023-09-27 05:40:00" "2023-09-27 05:20:00"
42000 21.73081 55.75888 14.17143 "2023-09-27 05:40:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 31.56250 "2023-09-27 05:40:00" "2023-09-27 05:40:00"
42000 21.73081 55.75888 16.23750 "2023-09-27 05:40:00" "2023-09-27 04:50:00"
42000 21.73081 55.75888 29.11429 "2023-09-27 05:40:00" "2023-09-27 05:00:00"
42000 21.73081 55.75888 13.77143 "2023-09-27 05:40:00" "2023-09-27 05:10:00"
42000 21.73081 55.75888 14.57143 "2023-09-27 05:40:00" "2023-09-27 05:20:00"
