20230913
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
44400 0.88981 0.61833 0.99486 "2023-09-14 06:20:00" "2023-09-14 05:30:00"
44400 0.88981 0.61833 0.93388 "2023-09-14 06:20:00" "2023-09-14 05:40:00"
44400 0.88981 0.61833 0.94814 "2023-09-14 06:20:00" "2023-09-14 05:50:00"
44400 0.88981 0.61833 0.91986 "2023-09-14 06:20:00" "2023-09-14 06:00:00"
44400 0.88981 0.61833 0.79329 "2023-09-14 06:20:00" "2023-09-14 06:10:00"
44400 0.88981 0.61833 0.82829 "2023-09-14 06:20:00" "2023-09-14 06:20:00"
44400 0.88981 0.61833 0.99486 "2023-09-14 06:20:00" "2023-09-14 05:30:00"
44400 0.88981 0.61833 0.93388 "2023-09-14 06:20:00" "2023-09-14 05:40:00"
44400 0.88981 0.61833 0.94814 "2023-09-14 06:20:00" "2023-09-14 05:50:00"
44400 0.88981 0.61833 0.91986 "2023-09-14 06:20:00" "2023-09-14 06:00:00"
44400 0.88981 0.61833 0.79329 "2023-09-14 06:20:00" "2023-09-14 06:10:00"
44400 0.88981 0.61833 0.82829 "2023-09-14 06:20:00" "2023-09-14 06:20:00"
44400 0.88981 0.61833 0.99486 "2023-09-14 06:20:00" "2023-09-14 05:30:00"
44400 0.88981 0.61833 0.93388 "2023-09-14 06:20:00" "2023-09-14 05:40:00"
44400 0.88981 0.61833 0.94814 "2023-09-14 06:20:00" "2023-09-14 05:50:00"
44400 0.88981 0.61833 0.91986 "2023-09-14 06:20:00" "2023-09-14 06:00:00"
44400 0.88981 0.61833 0.79329 "2023-09-14 06:20:00" "2023-09-14 06:10:00"
44400 0.88981 0.61833 0.82829 "2023-09-14 06:20:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.93388 "2023-09-14 06:30:00" "2023-09-14 05:40:00"
45000 0.88121 0.60564 0.94814 "2023-09-14 06:30:00" "2023-09-14 05:50:00"
45000 0.88121 0.60564 0.91986 "2023-09-14 06:30:00" "2023-09-14 06:00:00"
45000 0.88121 0.60564 0.79329 "2023-09-14 06:30:00" "2023-09-14 06:10:00"
45000 0.88121 0.60564 0.82829 "2023-09-14 06:30:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.86775 "2023-09-14 06:30:00" "2023-09-14 06:30:00"
45000 0.88121 0.60564 0.93388 "2023-09-14 06:30:00" "2023-09-14 05:40:00"
45000 0.88121 0.60564 0.94814 "2023-09-14 06:30:00" "2023-09-14 05:50:00"
45000 0.88121 0.60564 0.91986 "2023-09-14 06:30:00" "2023-09-14 06:00:00"
45000 0.88121 0.60564 0.79329 "2023-09-14 06:30:00" "2023-09-14 06:10:00"
45000 0.88121 0.60564 0.82829 "2023-09-14 06:30:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.86775 "2023-09-14 06:30:00" "2023-09-14 06:30:00"
45000 0.88121 0.60564 0.93388 "2023-09-14 06:30:00" "2023-09-14 05:40:00"
45000 0.88121 0.60564 0.94814 "2023-09-14 06:30:00" "2023-09-14 05:50:00"
45000 0.88121 0.60564 0.91986 "2023-09-14 06:30:00" "2023-09-14 06:00:00"
45000 0.88121 0.60564 0.79329 "2023-09-14 06:30:00" "2023-09-14 06:10:00"
45000 0.88121 0.60564 0.82829 "2023-09-14 06:30:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.86775 "2023-09-14 06:30:00" "2023-09-14 06:30:00"
45000 0.88121 0.60564 0.93388 "2023-09-14 06:30:00" "2023-09-14 05:40:00"
45000 0.88121 0.60564 0.94814 "2023-09-14 06:30:00" "2023-09-14 05:50:00"
45000 0.88121 0.60564 0.91986 "2023-09-14 06:30:00" "2023-09-14 06:00:00"
45000 0.88121 0.60564 0.79329 "2023-09-14 06:30:00" "2023-09-14 06:10:00"
45000 0.88121 0.60564 0.82829 "2023-09-14 06:30:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.86775 "2023-09-14 06:30:00" "2023-09-14 06:30:00"
45000 0.88121 0.60564 0.93388 "2023-09-14 06:30:00" "2023-09-14 05:40:00"
45000 0.88121 0.60564 0.94814 "2023-09-14 06:30:00" "2023-09-14 05:50:00"
45000 0.88121 0.60564 0.91986 "2023-09-14 06:30:00" "2023-09-14 06:00:00"
45000 0.88121 0.60564 0.79329 "2023-09-14 06:30:00" "2023-09-14 06:10:00"
45000 0.88121 0.60564 0.82829 "2023-09-14 06:30:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.86775 "2023-09-14 06:30:00" "2023-09-14 06:30:00"
45000 0.88121 0.60564 0.93388 "2023-09-14 06:30:00" "2023-09-14 05:40:00"
45000 0.88121 0.60564 0.94814 "2023-09-14 06:30:00" "2023-09-14 05:50:00"
45000 0.88121 0.60564 0.91986 "2023-09-14 06:30:00" "2023-09-14 06:00:00"
45000 0.88121 0.60564 0.79329 "2023-09-14 06:30:00" "2023-09-14 06:10:00"
45000 0.88121 0.60564 0.82829 "2023-09-14 06:30:00" "2023-09-14 06:20:00"
45000 0.88121 0.60564 0.86775 "2023-09-14 06:30:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.94814 "2023-09-14 06:40:00" "2023-09-14 05:50:00"
45600 0.87620 0.59385 0.91986 "2023-09-14 06:40:00" "2023-09-14 06:00:00"
45600 0.87620 0.59385 0.79329 "2023-09-14 06:40:00" "2023-09-14 06:10:00"
45600 0.87620 0.59385 0.82829 "2023-09-14 06:40:00" "2023-09-14 06:20:00"
45600 0.87620 0.59385 0.86775 "2023-09-14 06:40:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.90900 "2023-09-14 06:40:00" "2023-09-14 06:40:00"
45600 0.87620 0.59385 0.94814 "2023-09-14 06:40:00" "2023-09-14 05:50:00"
45600 0.87620 0.59385 0.91986 "2023-09-14 06:40:00" "2023-09-14 06:00:00"
45600 0.87620 0.59385 0.79329 "2023-09-14 06:40:00" "2023-09-14 06:10:00"
45600 0.87620 0.59385 0.82829 "2023-09-14 06:40:00" "2023-09-14 06:20:00"
45600 0.87620 0.59385 0.86775 "2023-09-14 06:40:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.90900 "2023-09-14 06:40:00" "2023-09-14 06:40:00"
45600 0.87620 0.59385 0.94814 "2023-09-14 06:40:00" "2023-09-14 05:50:00"
45600 0.87620 0.59385 0.91986 "2023-09-14 06:40:00" "2023-09-14 06:00:00"
45600 0.87620 0.59385 0.79329 "2023-09-14 06:40:00" "2023-09-14 06:10:00"
45600 0.87620 0.59385 0.82829 "2023-09-14 06:40:00" "2023-09-14 06:20:00"
45600 0.87620 0.59385 0.86775 "2023-09-14 06:40:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.90900 "2023-09-14 06:40:00" "2023-09-14 06:40:00"
45600 0.87620 0.59385 0.94814 "2023-09-14 06:40:00" "2023-09-14 05:50:00"
45600 0.87620 0.59385 0.91986 "2023-09-14 06:40:00" "2023-09-14 06:00:00"
45600 0.87620 0.59385 0.79329 "2023-09-14 06:40:00" "2023-09-14 06:10:00"
45600 0.87620 0.59385 0.82829 "2023-09-14 06:40:00" "2023-09-14 06:20:00"
45600 0.87620 0.59385 0.86775 "2023-09-14 06:40:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.90900 "2023-09-14 06:40:00" "2023-09-14 06:40:00"
45600 0.87620 0.59385 0.94814 "2023-09-14 06:40:00" "2023-09-14 05:50:00"
45600 0.87620 0.59385 0.91986 "2023-09-14 06:40:00" "2023-09-14 06:00:00"
45600 0.87620 0.59385 0.79329 "2023-09-14 06:40:00" "2023-09-14 06:10:00"
45600 0.87620 0.59385 0.82829 "2023-09-14 06:40:00" "2023-09-14 06:20:00"
45600 0.87620 0.59385 0.86775 "2023-09-14 06:40:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.90900 "2023-09-14 06:40:00" "2023-09-14 06:40:00"
45600 0.87620 0.59385 0.94814 "2023-09-14 06:40:00" "2023-09-14 05:50:00"
45600 0.87620 0.59385 0.91986 "2023-09-14 06:40:00" "2023-09-14 06:00:00"
45600 0.87620 0.59385 0.79329 "2023-09-14 06:40:00" "2023-09-14 06:10:00"
45600 0.87620 0.59385 0.82829 "2023-09-14 06:40:00" "2023-09-14 06:20:00"
45600 0.87620 0.59385 0.86775 "2023-09-14 06:40:00" "2023-09-14 06:30:00"
45600 0.87620 0.59385 0.90900 "2023-09-14 06:40:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91986 "2023-09-14 06:50:00" "2023-09-14 06:00:00"
46200 0.87108 0.58305 0.79329 "2023-09-14 06:50:00" "2023-09-14 06:10:00"
46200 0.87108 0.58305 0.82829 "2023-09-14 06:50:00" "2023-09-14 06:20:00"
