20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
33600 2.61053 3.20035 2.75600 "2023-09-02 03:20:00" "2023-09-02 03:10:00"
33600 2.61053 3.20035 2.63653 "2023-09-02 03:20:00" "2023-09-02 03:20:00"
34200 2.47171 3.06690 2.56113 "2023-09-02 03:30:00" "2023-09-02 02:40:00"
34200 2.47171 3.06690 2.67568 "2023-09-02 03:30:00" "2023-09-02 02:50:00"
34200 2.47171 3.06690 2.88960 "2023-09-02 03:30:00" "2023-09-02 03:00:00"
34200 2.47171 3.06690 2.59979 "2023-09-02 03:30:00" "2023-09-02 03:10:00"
34200 2.47171 3.06690 2.39688 "2023-09-02 03:30:00" "2023-09-02 03:20:00"
34200 2.47171 3.06690 2.45960 "2023-09-02 03:30:00" "2023-09-02 03:30:00"
34800 2.28059 3.01285 2.59175 "2023-09-02 03:40:00" "2023-09-02 02:50:00"
34800 2.28059 3.01285 2.82542 "2023-09-02 03:40:00" "2023-09-02 03:00:00"
34800 2.28059 3.01285 2.47754 "2023-09-02 03:40:00" "2023-09-02 03:10:00"
34800 2.28059 3.01285 2.20427 "2023-09-02 03:40:00" "2023-09-02 03:20:00"
34800 2.28059 3.01285 2.34210 "2023-09-02 03:40:00" "2023-09-02 03:30:00"
34800 2.28059 3.01285 2.29752 "2023-09-02 03:40:00" "2023-09-02 03:40:00"
35400 2.08871 3.06382 2.88895 "2023-09-02 03:50:00" "2023-09-02 03:00:00"
35400 2.08871 3.06382 2.49868 "2023-09-02 03:50:00" "2023-09-02 03:10:00"
35400 2.08871 3.06382 2.17098 "2023-09-02 03:50:00" "2023-09-02 03:20:00"
35400 2.08871 3.06382 2.35817 "2023-09-02 03:50:00" "2023-09-02 03:30:00"
35400 2.08871 3.06382 2.27946 "2023-09-02 03:50:00" "2023-09-02 03:40:00"
35400 2.08871 3.06382 2.13769 "2023-09-02 03:50:00" "2023-09-02 03:50:00"
36000 2.02788 3.11473 2.55337 "2023-09-02 04:00:00" "2023-09-02 03:10:00"
36000 2.02788 3.11473 2.18722 "2023-09-02 04:00:00" "2023-09-02 03:20:00"
36000 2.02788 3.11473 2.41232 "2023-09-02 04:00:00" "2023-09-02 03:30:00"
36000 2.02788 3.11473 2.30243 "2023-09-02 04:00:00" "2023-09-02 03:40:00"
36000 2.02788 3.11473 2.09042 "2023-09-02 04:00:00" "2023-09-02 03:50:00"
36000 2.02788 3.11473 2.16467 "2023-09-02 04:00:00" "2023-09-02 04:00:00"
36600 2.11821 3.17462 2.24101 "2023-09-02 04:10:00" "2023-09-02 03:20:00"
36600 2.11821 3.17462 2.49385 "2023-09-02 04:10:00" "2023-09-02 03:30:00"
36600 2.11821 3.17462 2.36023 "2023-09-02 04:10:00" "2023-09-02 03:40:00"
36600 2.11821 3.17462 2.09091 "2023-09-02 04:10:00" "2023-09-02 03:50:00"
36600 2.11821 3.17462 2.24907 "2023-09-02 04:10:00" "2023-09-02 04:00:00"
36600 2.11821 3.17462 2.33639 "2023-09-02 04:10:00" "2023-09-02 04:10:00"
37200 2.29796 3.24030 2.57352 "2023-09-02 04:20:00" "2023-09-02 03:30:00"
37200 2.29796 3.24030 2.42082 "2023-09-02 04:20:00" "2023-09-02 03:40:00"
37200 2.29796 3.24030 2.10457 "2023-09-02 04:20:00" "2023-09-02 03:50:00"
37200 2.29796 3.24030 2.32737 "2023-09-02 04:20:00" "2023-09-02 04:00:00"
37200 2.29796 3.24030 2.46804 "2023-09-02 04:20:00" "2023-09-02 04:10:00"
37200 2.29796 3.24030 2.42099 "2023-09-02 04:20:00" "2023-09-02 04:20:00"
37800 2.49611 3.33556 2.53666 "2023-09-02 04:30:00" "2023-09-02 03:40:00"
37800 2.49611 3.33556 2.19429 "2023-09-02 04:30:00" "2023-09-02 03:50:00"
37800 2.49611 3.33556 2.46730 "2023-09-02 04:30:00" "2023-09-02 04:00:00"
37800 2.49611 3.33556 2.65299 "2023-09-02 04:30:00" "2023-09-02 04:10:00"
37800 2.49611 3.33556 2.57207 "2023-09-02 04:30:00" "2023-09-02 04:20:00"
37800 2.49611 3.33556 2.49277 "2023-09-02 04:30:00" "2023-09-02 04:30:00"
38400 2.58329 3.35452 2.25607 "2023-09-02 04:40:00" "2023-09-02 03:50:00"
38400 2.58329 3.35452 2.57044 "2023-09-02 04:40:00" "2023-09-02 04:00:00"
38400 2.58329 3.35452 2.79201 "2023-09-02 04:40:00" "2023-09-02 04:10:00"
38400 2.58329 3.35452 2.68972 "2023-09-02 04:40:00" "2023-09-02 04:20:00"
38400 2.58329 3.35452 2.53980 "2023-09-02 04:40:00" "2023-09-02 04:30:00"
38400 2.58329 3.35452 2.51156 "2023-09-02 04:40:00" "2023-09-02 04:40:00"
39000 2.57990 3.33038 2.58725 "2023-09-02 04:50:00" "2023-09-02 04:00:00"
