20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
30000 3.16403 3.63758 3.29314 "2023-09-02 02:20:00" "2023-09-02 02:10:00"
30000 3.16403 3.63758 3.32625 "2023-09-02 02:20:00" "2023-09-02 02:20:00"
30600 3.17370 3.64380 3.33225 "2023-09-02 02:30:00" "2023-09-02 01:40:00"
30600 3.17370 3.64380 2.54014 "2023-09-02 02:30:00" "2023-09-02 01:50:00"
30600 3.17370 3.64380 2.87888 "2023-09-02 02:30:00" "2023-09-02 02:00:00"
30600 3.17370 3.64380 3.29314 "2023-09-02 02:30:00" "2023-09-02 02:10:00"
30600 3.17370 3.64380 3.32625 "2023-09-02 02:30:00" "2023-09-02 02:20:00"
30600 3.17370 3.64380 2.93883 "2023-09-02 02:30:00" "2023-09-02 02:30:00"
31200 3.17660 3.64512 2.54014 "2023-09-02 02:40:00" "2023-09-02 01:50:00"
31200 3.17660 3.64512 2.87888 "2023-09-02 02:40:00" "2023-09-02 02:00:00"
31200 3.17660 3.64512 3.29314 "2023-09-02 02:40:00" "2023-09-02 02:10:00"
31200 3.17660 3.64512 3.32625 "2023-09-02 02:40:00" "2023-09-02 02:20:00"
31200 3.17660 3.64512 2.93883 "2023-09-02 02:40:00" "2023-09-02 02:30:00"
31200 3.17660 3.64512 3.19562 "2023-09-02 02:40:00" "2023-09-02 02:40:00"
31800 3.15034 3.56027 2.87888 "2023-09-02 02:50:00" "2023-09-02 02:00:00"
31800 3.15034 3.56027 3.29314 "2023-09-02 02:50:00" "2023-09-02 02:10:00"
31800 3.15034 3.56027 3.32625 "2023-09-02 02:50:00" "2023-09-02 02:20:00"
31800 3.15034 3.56027 2.93883 "2023-09-02 02:50:00" "2023-09-02 02:30:00"
31800 3.15034 3.56027 3.19562 "2023-09-02 02:50:00" "2023-09-02 02:40:00"
31800 3.15034 3.56027 3.28900 "2023-09-02 02:50:00" "2023-09-02 02:50:00"
32400 3.04989 3.39383 3.29314 "2023-09-02 03:00:00" "2023-09-02 02:10:00"
32400 3.04989 3.39383 3.32625 "2023-09-02 03:00:00" "2023-09-02 02:20:00"
32400 3.04989 3.39383 2.93883 "2023-09-02 03:00:00" "2023-09-02 02:30:00"
32400 3.04989 3.39383 3.19562 "2023-09-02 03:00:00" "2023-09-02 02:40:00"
32400 3.04989 3.39383 3.28900 "2023-09-02 03:00:00" "2023-09-02 02:50:00"
32400 3.04989 3.39383 3.01683 "2023-09-02 03:00:00" "2023-09-02 03:00:00"
33000 2.81279 3.26942 3.32625 "2023-09-02 03:10:00" "2023-09-02 02:20:00"
33000 2.81279 3.26942 2.93883 "2023-09-02 03:10:00" "2023-09-02 02:30:00"
33000 2.81279 3.26942 3.19562 "2023-09-02 03:10:00" "2023-09-02 02:40:00"
33000 2.81279 3.26942 3.28900 "2023-09-02 03:10:00" "2023-09-02 02:50:00"
33000 2.81279 3.26942 3.01683 "2023-09-02 03:10:00" "2023-09-02 03:00:00"
33000 2.81279 3.26942 3.20043 "2023-09-02 03:10:00" "2023-09-02 03:10:00"
33600 2.61053 3.20035 2.93883 "2023-09-02 03:20:00" "2023-09-02 02:30:00"
33600 2.61053 3.20035 3.19562 "2023-09-02 03:20:00" "2023-09-02 02:40:00"
33600 2.61053 3.20035 3.28900 "2023-09-02 03:20:00" "2023-09-02 02:50:00"
33600 2.61053 3.20035 3.01683 "2023-09-02 03:20:00" "2023-09-02 03:00:00"
33600 2.61053 3.20035 3.20043 "2023-09-02 03:20:00" "2023-09-02 03:10:00"
33600 2.61053 3.20035 3.28171 "2023-09-02 03:20:00" "2023-09-02 03:20:00"
34200 2.47171 3.06690 3.19562 "2023-09-02 03:30:00" "2023-09-02 02:40:00"
34200 2.47171 3.06690 3.28900 "2023-09-02 03:30:00" "2023-09-02 02:50:00"
34200 2.47171 3.06690 3.01683 "2023-09-02 03:30:00" "2023-09-02 03:00:00"
34200 2.47171 3.06690 3.20043 "2023-09-02 03:30:00" "2023-09-02 03:10:00"
34200 2.47171 3.06690 3.28171 "2023-09-02 03:30:00" "2023-09-02 03:20:00"
34200 2.47171 3.06690 2.90075 "2023-09-02 03:30:00" "2023-09-02 03:30:00"
34800 2.28059 3.01285 3.28900 "2023-09-02 03:40:00" "2023-09-02 02:50:00"
34800 2.28059 3.01285 3.01683 "2023-09-02 03:40:00" "2023-09-02 03:00:00"
34800 2.28059 3.01285 3.20043 "2023-09-02 03:40:00" "2023-09-02 03:10:00"
34800 2.28059 3.01285 3.28171 "2023-09-02 03:40:00" "2023-09-02 03:20:00"
34800 2.28059 3.01285 2.90075 "2023-09-02 03:40:00" "2023-09-02 03:30:00"
34800 2.28059 3.01285 2.03729 "2023-09-02 03:40:00" "2023-09-02 03:40:00"
35400 2.08871 3.06382 3.01683 "2023-09-02 03:50:00" "2023-09-02 03:00:00"
35400 2.08871 3.06382 3.20043 "2023-09-02 03:50:00" "2023-09-02 03:10:00"
35400 2.08871 3.06382 3.28171 "2023-09-02 03:50:00" "2023-09-02 03:20:00"
35400 2.08871 3.06382 2.90075 "2023-09-02 03:50:00" "2023-09-02 03:30:00"
35400 2.08871 3.06382 2.03729 "2023-09-02 03:50:00" "2023-09-02 03:40:00"
35400 2.08871 3.06382 1.85263 "2023-09-02 03:50:00" "2023-09-02 03:50:00"
36000 2.02788 3.11473 3.20043 "2023-09-02 04:00:00" "2023-09-02 03:10:00"
36000 2.02788 3.11473 3.28171 "2023-09-02 04:00:00" "2023-09-02 03:20:00"
36000 2.02788 3.11473 2.90075 "2023-09-02 04:00:00" "2023-09-02 03:30:00"
36000 2.02788 3.11473 2.03729 "2023-09-02 04:00:00" "2023-09-02 03:40:00"
36000 2.02788 3.11473 1.85263 "2023-09-02 04:00:00" "2023-09-02 03:50:00"
36000 2.02788 3.11473 1.88414 "2023-09-02 04:00:00" "2023-09-02 04:00:00"
36600 2.11821 3.17462 3.28171 "2023-09-02 04:10:00" "2023-09-02 03:20:00"
36600 2.11821 3.17462 2.90075 "2023-09-02 04:10:00" "2023-09-02 03:30:00"
36600 2.11821 3.17462 2.03729 "2023-09-02 04:10:00" "2023-09-02 03:40:00"
36600 2.11821 3.17462 1.85263 "2023-09-02 04:10:00" "2023-09-02 03:50:00"
36600 2.11821 3.17462 1.88414 "2023-09-02 04:10:00" "2023-09-02 04:00:00"
36600 2.11821 3.17462 2.03867 "2023-09-02 04:10:00" "2023-09-02 04:10:00"
37200 2.29796 3.24030 2.90075 "2023-09-02 04:20:00" "2023-09-02 03:30:00"
37200 2.29796 3.24030 2.03729 "2023-09-02 04:20:00" "2023-09-02 03:40:00"
37200 2.29796 3.24030 1.85263 "2023-09-02 04:20:00" "2023-09-02 03:50:00"
37200 2.29796 3.24030 1.88414 "2023-09-02 04:20:00" "2023-09-02 04:00:00"
37200 2.29796 3.24030 2.03867 "2023-09-02 04:20:00" "2023-09-02 04:10:00"
37200 2.29796 3.24030 9999.00000 "2023-09-02 04:20:00" "2023-09-02 04:20:00"
37800 2.49611 3.33556 2.03729 "2023-09-02 04:30:00" "2023-09-02 03:40:00"
37800 2.49611 3.33556 1.85263 "2023-09-02 04:30:00" "2023-09-02 03:50:00"
37800 2.49611 3.33556 1.88414 "2023-09-02 04:30:00" "2023-09-02 04:00:00"
37800 2.49611 3.33556 2.03867 "2023-09-02 04:30:00" "2023-09-02 04:10:00"
37800 2.49611 3.33556 9999.00000 "2023-09-02 04:30:00" "2023-09-02 04:20:00"
37800 2.49611 3.33556 2.64800 "2023-09-02 04:30:00" "2023-09-02 04:30:00"
38400 2.58329 3.35452 1.85263 "2023-09-02 04:40:00" "2023-09-02 03:50:00"
38400 2.58329 3.35452 1.88414 "2023-09-02 04:40:00" "2023-09-02 04:00:00"
38400 2.58329 3.35452 2.03867 "2023-09-02 04:40:00" "2023-09-02 04:10:00"
38400 2.58329 3.35452 9999.00000 "2023-09-02 04:40:00" "2023-09-02 04:20:00"
38400 2.58329 3.35452 2.64800 "2023-09-02 04:40:00" "2023-09-02 04:30:00"
38400 2.58329 3.35452 3.00100 "2023-09-02 04:40:00" "2023-09-02 04:40:00"
39000 2.57990 3.33038 1.88414 "2023-09-02 04:50:00" "2023-09-02 04:00:00"
39000 2.57990 3.33038 2.03867 "2023-09-02 04:50:00" "2023-09-02 04:10:00"
39000 2.57990 3.33038 9999.00000 "2023-09-02 04:50:00" "2023-09-02 04:20:00"
39000 2.57990 3.33038 2.64800 "2023-09-02 04:50:00" "2023-09-02 04:30:00"
39000 2.57990 3.33038 3.00100 "2023-09-02 04:50:00" "2023-09-02 04:40:00"
39000 2.57990 3.33038 2.35100 "2023-09-02 04:50:00" "2023-09-02 04:50:00"
39600 2.46571 3.39883 2.03867 "2023-09-02 05:00:00" "2023-09-02 04:10:00"
39600 2.46571 3.39883 9999.00000 "2023-09-02 05:00:00" "2023-09-02 04:20:00"
39600 2.46571 3.39883 2.64800 "2023-09-02 05:00:00" "2023-09-02 04:30:00"
39600 2.46571 3.39883 3.00100 "2023-09-02 05:00:00" "2023-09-02 04:40:00"
39600 2.46571 3.39883 2.35100 "2023-09-02 05:00:00" "2023-09-02 04:50:00"
39600 2.46571 3.39883 2.30700 "2023-09-02 05:00:00" "2023-09-02 05:00:00"
40200 2.22185 3.44968 9999.00000 "2023-09-02 05:10:00" "2023-09-02 04:20:00"
40200 2.22185 3.44968 2.64800 "2023-09-02 05:10:00" "2023-09-02 04:30:00"
40200 2.22185 3.44968 3.00100 "2023-09-02 05:10:00" "2023-09-02 04:40:00"
40200 2.22185 3.44968 2.35100 "2023-09-02 05:10:00" "2023-09-02 04:50:00"
40200 2.22185 3.44968 2.30700 "2023-09-02 05:10:00" "2023-09-02 05:00:00"
40200 2.22185 3.44968 9999.00000 "2023-09-02 05:10:00" "2023-09-02 05:10:00"
40800 2.13378 3.50286 2.64800 "2023-09-02 05:20:00" "2023-09-02 04:30:00"
40800 2.13378 3.50286 3.00100 "2023-09-02 05:20:00" "2023-09-02 04:40:00"
40800 2.13378 3.50286 2.35100 "2023-09-02 05:20:00" "2023-09-02 04:50:00"
40800 2.13378 3.50286 2.30700 "2023-09-02 05:20:00" "2023-09-02 05:00:00"
40800 2.13378 3.50286 9999.00000 "2023-09-02 05:20:00" "2023-09-02 05:10:00"
40800 2.13378 3.50286 2.26000 "2023-09-02 05:20:00" "2023-09-02 05:20:00"
41400 2.12467 3.49162 3.00100 "2023-09-02 05:30:00" "2023-09-02 04:40:00"
41400 2.12467 3.49162 2.35100 "2023-09-02 05:30:00" "2023-09-02 04:50:00"
41400 2.12467 3.49162 2.30700 "2023-09-02 05:30:00" "2023-09-02 05:00:00"
41400 2.12467 3.49162 9999.00000 "2023-09-02 05:30:00" "2023-09-02 05:10:00"
41400 2.12467 3.49162 2.26000 "2023-09-02 05:30:00" "2023-09-02 05:20:00"
41400 2.12467 3.49162 9999.00000 "2023-09-02 05:30:00" "2023-09-02 05:30:00"
42000 2.01220 3.46589 2.35100 "2023-09-02 05:40:00" "2023-09-02 04:50:00"
42000 2.01220 3.46589 2.30700 "2023-09-02 05:40:00" "2023-09-02 05:00:00"
42000 2.01220 3.46589 9999.00000 "2023-09-02 05:40:00" "2023-09-02 05:10:00"
42000 2.01220 3.46589 2.26000 "2023-09-02 05:40:00" "2023-09-02 05:20:00"
42000 2.01220 3.46589 9999.00000 "2023-09-02 05:40:00" "2023-09-02 05:30:00"
42000 2.01220 3.46589 1.85400 "2023-09-02 05:40:00" "2023-09-02 05:40:00"
42600 1.85400 3.48972 2.30700 "2023-09-02 05:50:00" "2023-09-02 05:00:00"
42600 1.85400 3.48972 9999.00000 "2023-09-02 05:50:00" "2023-09-02 05:10:00"
42600 1.85400 3.48972 2.26000 "2023-09-02 05:50:00" "2023-09-02 05:20:00"
42600 1.85400 3.48972 9999.00000 "2023-09-02 05:50:00" "2023-09-02 05:30:00"
42600 1.85400 3.48972 1.85400 "2023-09-02 05:50:00" "2023-09-02 05:40:00"
42600 1.85400 3.48972 9999.00000 "2023-09-02 05:50:00" "2023-09-02 05:50:00"
43200 1.85400 3.46769 9999.00000 "2023-09-02 06:00:00" "2023-09-02 05:10:00"
43200 1.85400 3.46769 2.26000 "2023-09-02 06:00:00" "2023-09-02 05:20:00"
43200 1.85400 3.46769 9999.00000 "2023-09-02 06:00:00" "2023-09-02 05:30:00"
43200 1.85400 3.46769 1.85400 "2023-09-02 06:00:00" "2023-09-02 05:40:00"
43200 1.85400 3.46769 9999.00000 "2023-09-02 06:00:00" "2023-09-02 05:50:00"
43200 1.85400 3.46769 9999.00000 "2023-09-02 06:00:00" "2023-09-02 06:00:00"
43800 1.66000 3.43495 2.26000 "2023-09-02 06:10:00" "2023-09-02 05:20:00"
43800 1.66000 3.43495 9999.00000 "2023-09-02 06:10:00" "2023-09-02 05:30:00"
43800 1.66000 3.43495 1.85400 "2023-09-02 06:10:00" "2023-09-02 05:40:00"
43800 1.66000 3.43495 9999.00000 "2023-09-02 06:10:00" "2023-09-02 05:50:00"
43800 1.66000 3.43495 9999.00000 "2023-09-02 06:10:00" "2023-09-02 06:00:00"
43800 1.66000 3.43495 9999.00000 "2023-09-02 06:10:00" "2023-09-02 06:10:00"
44400 1.69750 3.45074 9999.00000 "2023-09-02 06:20:00" "2023-09-02 05:30:00"
44400 1.69750 3.45074 1.85400 "2023-09-02 06:20:00" "2023-09-02 05:40:00"
44400 1.69750 3.45074 9999.00000 "2023-09-02 06:20:00" "2023-09-02 05:50:00"
44400 1.69750 3.45074 9999.00000 "2023-09-02 06:20:00" "2023-09-02 06:00:00"
44400 1.69750 3.45074 9999.00000 "2023-09-02 06:20:00" "2023-09-02 06:10:00"
44400 1.69750 3.45074 9999.00000 "2023-09-02 06:20:00" "2023-09-02 06:20:00"
45000 1.53352 3.40426 1.85400 "2023-09-02 06:30:00" "2023-09-02 05:40:00"
45000 1.53352 3.40426 9999.00000 "2023-09-02 06:30:00" "2023-09-02 05:50:00"
45000 1.53352 3.40426 9999.00000 "2023-09-02 06:30:00" "2023-09-02 06:00:00"
45000 1.53352 3.40426 9999.00000 "2023-09-02 06:30:00" "2023-09-02 06:10:00"
45000 1.53352 3.40426 9999.00000 "2023-09-02 06:30:00" "2023-09-02 06:20:00"
45000 1.53352 3.40426 9999.00000 "2023-09-02 06:30:00" "2023-09-02 06:30:00"
45600 1.45917 3.35572 9999.00000 "2023-09-02 06:40:00" "2023-09-02 05:50:00"
45600 1.45917 3.35572 9999.00000 "2023-09-02 06:40:00" "2023-09-02 06:00:00"
45600 1.45917 3.35572 9999.00000 "2023-09-02 06:40:00" "2023-09-02 06:10:00"
45600 1.45917 3.35572 9999.00000 "2023-09-02 06:40:00" "2023-09-02 06:20:00"
45600 1.45917 3.35572 9999.00000 "2023-09-02 06:40:00" "2023-09-02 06:30:00"
45600 1.45917 3.35572 9999.00000 "2023-09-02 06:40:00" "2023-09-02 06:40:00"
46200 1.47142 3.25611 9999.00000 "2023-09-02 06:50:00" "2023-09-02 06:00:00"
46200 1.47142 3.25611 9999.00000 "2023-09-02 06:50:00" "2023-09-02 06:10:00"
46200 1.47142 3.25611 9999.00000 "2023-09-02 06:50:00" "2023-09-02 06:20:00"
