20230906
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
37800 46.68146 44.36678 48.72857 "2023-09-07 04:30:00" "2023-09-07 04:20:00"
37800 46.68146 44.36678 43.50000 "2023-09-07 04:30:00" "2023-09-07 04:30:00"
38400 44.29144 45.55159 48.11250 "2023-09-07 04:40:00" "2023-09-07 03:50:00"
38400 44.29144 45.55159 54.75714 "2023-09-07 04:40:00" "2023-09-07 04:00:00"
38400 44.29144 45.55159 54.82500 "2023-09-07 04:40:00" "2023-09-07 04:10:00"
38400 44.29144 45.55159 48.72857 "2023-09-07 04:40:00" "2023-09-07 04:20:00"
38400 44.29144 45.55159 43.50000 "2023-09-07 04:40:00" "2023-09-07 04:30:00"
38400 44.29144 45.55159 51.07143 "2023-09-07 04:40:00" "2023-09-07 04:40:00"
39000 43.14707 47.44698 54.75714 "2023-09-07 04:50:00" "2023-09-07 04:00:00"
39000 43.14707 47.44698 54.82500 "2023-09-07 04:50:00" "2023-09-07 04:10:00"
39000 43.14707 47.44698 48.72857 "2023-09-07 04:50:00" "2023-09-07 04:20:00"
39000 43.14707 47.44698 43.50000 "2023-09-07 04:50:00" "2023-09-07 04:30:00"
39000 43.14707 47.44698 51.07143 "2023-09-07 04:50:00" "2023-09-07 04:40:00"
39000 43.14707 47.44698 44.50000 "2023-09-07 04:50:00" "2023-09-07 04:50:00"
39600 40.67413 47.98933 54.82500 "2023-09-07 05:00:00" "2023-09-07 04:10:00"
39600 40.67413 47.98933 48.72857 "2023-09-07 05:00:00" "2023-09-07 04:20:00"
39600 40.67413 47.98933 43.50000 "2023-09-07 05:00:00" "2023-09-07 04:30:00"
39600 40.67413 47.98933 51.07143 "2023-09-07 05:00:00" "2023-09-07 04:40:00"
39600 40.67413 47.98933 44.50000 "2023-09-07 05:00:00" "2023-09-07 04:50:00"
39600 40.67413 47.98933 45.86667 "2023-09-07 05:00:00" "2023-09-07 05:00:00"
40200 36.67417 46.71492 48.72857 "2023-09-07 05:10:00" "2023-09-07 04:20:00"
40200 36.67417 46.71492 43.50000 "2023-09-07 05:10:00" "2023-09-07 04:30:00"
40200 36.67417 46.71492 51.07143 "2023-09-07 05:10:00" "2023-09-07 04:40:00"
40200 36.67417 46.71492 44.50000 "2023-09-07 05:10:00" "2023-09-07 04:50:00"
40200 36.67417 46.71492 45.86667 "2023-09-07 05:10:00" "2023-09-07 05:00:00"
40200 36.67417 46.71492 35.74286 "2023-09-07 05:10:00" "2023-09-07 05:10:00"
40800 35.20182 46.46055 43.50000 "2023-09-07 05:20:00" "2023-09-07 04:30:00"
40800 35.20182 46.46055 51.07143 "2023-09-07 05:20:00" "2023-09-07 04:40:00"
40800 35.20182 46.46055 44.50000 "2023-09-07 05:20:00" "2023-09-07 04:50:00"
40800 35.20182 46.46055 45.86667 "2023-09-07 05:20:00" "2023-09-07 05:00:00"
40800 35.20182 46.46055 35.74286 "2023-09-07 05:20:00" "2023-09-07 05:10:00"
40800 35.20182 46.46055 46.45000 "2023-09-07 05:20:00" "2023-09-07 05:20:00"
41400 34.19956 46.21049 51.07143 "2023-09-07 05:30:00" "2023-09-07 04:40:00"
41400 34.19956 46.21049 44.50000 "2023-09-07 05:30:00" "2023-09-07 04:50:00"
41400 34.19956 46.21049 45.86667 "2023-09-07 05:30:00" "2023-09-07 05:00:00"
