20230902
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
34800 47.88571 62.35157 55.91851 "2023-09-03 03:40:00" "2023-09-03 03:30:00"
34800 47.88571 62.35157 53.75040 "2023-09-03 03:40:00" "2023-09-03 03:40:00"
35400 50.94685 62.59943 65.10707 "2023-09-03 03:50:00" "2023-09-03 03:00:00"
35400 50.94685 62.59943 63.59526 "2023-09-03 03:50:00" "2023-09-03 03:10:00"
35400 50.94685 62.59943 60.45732 "2023-09-03 03:50:00" "2023-09-03 03:20:00"
35400 50.94685 62.59943 53.54010 "2023-09-03 03:50:00" "2023-09-03 03:30:00"
35400 50.94685 62.59943 50.02156 "2023-09-03 03:50:00" "2023-09-03 03:40:00"
35400 50.94685 62.59943 52.72024 "2023-09-03 03:50:00" "2023-09-03 03:50:00"
36000 51.67778 65.09591 65.36791 "2023-09-03 04:00:00" "2023-09-03 03:10:00"
36000 51.67778 65.09591 62.05444 "2023-09-03 04:00:00" "2023-09-03 03:20:00"
36000 51.67778 65.09591 54.21600 "2023-09-03 04:00:00" "2023-09-03 03:30:00"
36000 51.67778 65.09591 49.52547 "2023-09-03 04:00:00" "2023-09-03 03:40:00"
36000 51.67778 65.09591 53.73583 "2023-09-03 04:00:00" "2023-09-03 03:50:00"
36000 51.67778 65.09591 52.70772 "2023-09-03 04:00:00" "2023-09-03 04:00:00"
36600 49.95028 67.49682 64.60895 "2023-09-03 04:10:00" "2023-09-03 03:20:00"
36600 49.95028 67.49682 56.25860 "2023-09-03 04:10:00" "2023-09-03 03:30:00"
36600 49.95028 67.49682 50.64197 "2023-09-03 04:10:00" "2023-09-03 03:40:00"
36600 49.95028 67.49682 55.97303 "2023-09-03 04:10:00" "2023-09-03 03:50:00"
36600 49.95028 67.49682 53.78133 "2023-09-03 04:10:00" "2023-09-03 04:00:00"
36600 49.95028 67.49682 52.60058 "2023-09-03 04:10:00" "2023-09-03 04:10:00"
37200 50.33619 68.65013 57.81538 "2023-09-03 04:20:00" "2023-09-03 03:30:00"
37200 50.33619 68.65013 51.72929 "2023-09-03 04:20:00" "2023-09-03 03:40:00"
37200 50.33619 68.65013 57.79396 "2023-09-03 04:20:00" "2023-09-03 03:50:00"
37200 50.33619 68.65013 54.84831 "2023-09-03 04:20:00" "2023-09-03 04:00:00"
37200 50.33619 68.65013 53.12996 "2023-09-03 04:20:00" "2023-09-03 04:10:00"
37200 50.33619 68.65013 54.63867 "2023-09-03 04:20:00" "2023-09-03 04:20:00"
37800 51.84067 67.61150 51.19961 "2023-09-03 04:30:00" "2023-09-03 03:40:00"
37800 51.84067 67.61150 57.65771 "2023-09-03 04:30:00" "2023-09-03 03:50:00"
37800 51.84067 67.61150 54.10694 "2023-09-03 04:30:00" "2023-09-03 04:00:00"
37800 51.84067 67.61150 51.97430 "2023-09-03 04:30:00" "2023-09-03 04:10:00"
37800 51.84067 67.61150 54.51699 "2023-09-03 04:30:00" "2023-09-03 04:20:00"
37800 51.84067 67.61150 58.22287 "2023-09-03 04:30:00" "2023-09-03 04:30:00"
38400 61.23333 67.54641 57.83777 "2023-09-03 04:40:00" "2023-09-03 03:50:00"
38400 61.23333 67.54641 53.97525 "2023-09-03 04:40:00" "2023-09-03 04:00:00"
38400 61.23333 67.54641 51.60112 "2023-09-03 04:40:00" "2023-09-03 04:10:00"
38400 61.23333 67.54641 54.92895 "2023-09-03 04:40:00" "2023-09-03 04:20:00"
38400 61.23333 67.54641 60.55508 "2023-09-03 04:40:00" "2023-09-03 04:30:00"
38400 61.23333 67.54641 63.35405 "2023-09-03 04:40:00" "2023-09-03 04:40:00"
39000 66.04167 67.39961 54.62094 "2023-09-03 04:50:00" "2023-09-03 04:00:00"
39000 66.04167 67.39961 52.10659 "2023-09-03 04:50:00" "2023-09-03 04:10:00"
39000 66.04167 67.39961 56.02418 "2023-09-03 04:50:00" "2023-09-03 04:20:00"
39000 66.04167 67.39961 63.17345 "2023-09-03 04:50:00" "2023-09-03 04:30:00"
39000 66.04167 67.39961 67.78573 "2023-09-03 04:50:00" "2023-09-03 04:40:00"
39000 66.04167 67.39961 64.53568 "2023-09-03 04:50:00" "2023-09-03 04:50:00"
39600 67.30000 64.67314 50.81651 "2023-09-03 05:00:00" "2023-09-03 04:10:00"
39600 67.30000 64.67314 55.04661 "2023-09-03 05:00:00" "2023-09-03 04:20:00"
39600 67.30000 64.67314 63.19494 "2023-09-03 05:00:00" "2023-09-03 04:30:00"
39600 67.30000 64.67314 69.27223 "2023-09-03 05:00:00" "2023-09-03 04:40:00"
39600 67.30000 64.67314 63.86754 "2023-09-03 05:00:00" "2023-09-03 04:50:00"
39600 67.30000 64.67314 64.35543 "2023-09-03 05:00:00" "2023-09-03 05:00:00"
40200 67.30000 62.28152 52.96865 "2023-09-03 05:10:00" "2023-09-03 04:20:00"
40200 67.30000 62.28152 61.67208 "2023-09-03 05:10:00" "2023-09-03 04:30:00"
40200 67.30000 62.28152 68.86507 "2023-09-03 05:10:00" "2023-09-03 04:40:00"
40200 67.30000 62.28152 61.90484 "2023-09-03 05:10:00" "2023-09-03 04:50:00"
40200 67.30000 62.28152 63.44823 "2023-09-03 05:10:00" "2023-09-03 05:00:00"
40200 67.30000 62.28152 65.70195 "2023-09-03 05:10:00" "2023-09-03 05:10:00"
