20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
28200 10.25349 10.67311 11.15700 "2023-09-19 01:50:00" "2023-09-19 01:20:00"
28200 10.25349 10.67311 9.94900 "2023-09-19 01:50:00" "2023-09-19 01:30:00"
28200 10.25349 10.67311 10.59400 "2023-09-19 01:50:00" "2023-09-19 01:40:00"
28200 10.25349 10.67311 10.27600 "2023-09-19 01:50:00" "2023-09-19 01:50:00"
28800 10.21700 10.44135 11.00400 "2023-09-19 02:00:00" "2023-09-19 01:10:00"
28800 10.21700 10.44135 11.15700 "2023-09-19 02:00:00" "2023-09-19 01:20:00"
28800 10.21700 10.44135 9.94900 "2023-09-19 02:00:00" "2023-09-19 01:30:00"
28800 10.21700 10.44135 10.59400 "2023-09-19 02:00:00" "2023-09-19 01:40:00"
28800 10.21700 10.44135 10.27600 "2023-09-19 02:00:00" "2023-09-19 01:50:00"
28800 10.21700 10.44135 9.86300 "2023-09-19 02:00:00" "2023-09-19 02:00:00"
29400 9.98508 10.41789 11.15700 "2023-09-19 02:10:00" "2023-09-19 01:20:00"
29400 9.98508 10.41789 9.94900 "2023-09-19 02:10:00" "2023-09-19 01:30:00"
29400 9.98508 10.41789 10.59400 "2023-09-19 02:10:00" "2023-09-19 01:40:00"
29400 9.98508 10.41789 10.27600 "2023-09-19 02:10:00" "2023-09-19 01:50:00"
29400 9.98508 10.41789 9.86300 "2023-09-19 02:10:00" "2023-09-19 02:00:00"
29400 9.98508 10.41789 10.06400 "2023-09-19 02:10:00" "2023-09-19 02:10:00"
30000 9.75138 10.40049 9.94900 "2023-09-19 02:20:00" "2023-09-19 01:30:00"
30000 9.75138 10.40049 10.59400 "2023-09-19 02:20:00" "2023-09-19 01:40:00"
30000 9.75138 10.40049 10.27600 "2023-09-19 02:20:00" "2023-09-19 01:50:00"
30000 9.75138 10.40049 9.86300 "2023-09-19 02:20:00" "2023-09-19 02:00:00"
30000 9.75138 10.40049 10.06400 "2023-09-19 02:20:00" "2023-09-19 02:10:00"
30000 9.75138 10.40049 10.60600 "2023-09-19 02:20:00" "2023-09-19 02:20:00"
30600 9.66136 10.45016 10.59400 "2023-09-19 02:30:00" "2023-09-19 01:40:00"
30600 9.66136 10.45016 10.27600 "2023-09-19 02:30:00" "2023-09-19 01:50:00"
30600 9.66136 10.45016 9.86300 "2023-09-19 02:30:00" "2023-09-19 02:00:00"
30600 9.66136 10.45016 10.06400 "2023-09-19 02:30:00" "2023-09-19 02:10:00"
30600 9.66136 10.45016 10.60600 "2023-09-19 02:30:00" "2023-09-19 02:20:00"
30600 9.66136 10.45016 10.13000 "2023-09-19 02:30:00" "2023-09-19 02:30:00"
31200 9.68830 10.54776 10.27600 "2023-09-19 02:40:00" "2023-09-19 01:50:00"
31200 9.68830 10.54776 9.86300 "2023-09-19 02:40:00" "2023-09-19 02:00:00"
31200 9.68830 10.54776 10.06400 "2023-09-19 02:40:00" "2023-09-19 02:10:00"
31200 9.68830 10.54776 10.60600 "2023-09-19 02:40:00" "2023-09-19 02:20:00"
31200 9.68830 10.54776 10.13000 "2023-09-19 02:40:00" "2023-09-19 02:30:00"
31200 9.68830 10.54776 9.74500 "2023-09-19 02:40:00" "2023-09-19 02:40:00"
31800 9.75667 10.42284 9.86300 "2023-09-19 02:50:00" "2023-09-19 02:00:00"
31800 9.75667 10.42284 10.06400 "2023-09-19 02:50:00" "2023-09-19 02:10:00"
31800 9.75667 10.42284 10.60600 "2023-09-19 02:50:00" "2023-09-19 02:20:00"
31800 9.75667 10.42284 10.13000 "2023-09-19 02:50:00" "2023-09-19 02:30:00"
31800 9.75667 10.42284 9.74500 "2023-09-19 02:50:00" "2023-09-19 02:40:00"
31800 9.75667 10.42284 8.70700 "2023-09-19 02:50:00" "2023-09-19 02:50:00"
32400 9.70385 10.29207 10.06400 "2023-09-19 03:00:00" "2023-09-19 02:10:00"
32400 9.70385 10.29207 10.60600 "2023-09-19 03:00:00" "2023-09-19 02:20:00"
32400 9.70385 10.29207 10.13000 "2023-09-19 03:00:00" "2023-09-19 02:30:00"
32400 9.70385 10.29207 9.74500 "2023-09-19 03:00:00" "2023-09-19 02:40:00"
32400 9.70385 10.29207 8.70700 "2023-09-19 03:00:00" "2023-09-19 02:50:00"
32400 9.70385 10.29207 9.06700 "2023-09-19 03:00:00" "2023-09-19 03:00:00"
33000 9.88623 10.18920 10.60600 "2023-09-19 03:10:00" "2023-09-19 02:20:00"
33000 9.88623 10.18920 10.13000 "2023-09-19 03:10:00" "2023-09-19 02:30:00"
33000 9.88623 10.18920 9.74500 "2023-09-19 03:10:00" "2023-09-19 02:40:00"
33000 9.88623 10.18920 8.70700 "2023-09-19 03:10:00" "2023-09-19 02:50:00"
33000 9.88623 10.18920 9.06700 "2023-09-19 03:10:00" "2023-09-19 03:00:00"
33000 9.88623 10.18920 9.50800 "2023-09-19 03:10:00" "2023-09-19 03:10:00"
33600 10.32354 9.86387 10.13000 "2023-09-19 03:20:00" "2023-09-19 02:30:00"
33600 10.32354 9.86387 9.74500 "2023-09-19 03:20:00" "2023-09-19 02:40:00"
33600 10.32354 9.86387 8.70700 "2023-09-19 03:20:00" "2023-09-19 02:50:00"
33600 10.32354 9.86387 9.06700 "2023-09-19 03:20:00" "2023-09-19 03:00:00"
33600 10.32354 9.86387 9.50800 "2023-09-19 03:20:00" "2023-09-19 03:10:00"
33600 10.32354 9.86387 11.02400 "2023-09-19 03:20:00" "2023-09-19 03:20:00"
34200 10.68213 9.45099 9.74500 "2023-09-19 03:30:00" "2023-09-19 02:40:00"
34200 10.68213 9.45099 8.70700 "2023-09-19 03:30:00" "2023-09-19 02:50:00"
34200 10.68213 9.45099 9.06700 "2023-09-19 03:30:00" "2023-09-19 03:00:00"
34200 10.68213 9.45099 9.50800 "2023-09-19 03:30:00" "2023-09-19 03:10:00"
34200 10.68213 9.45099 11.02400 "2023-09-19 03:30:00" "2023-09-19 03:20:00"
34200 10.68213 9.45099 10.45900 "2023-09-19 03:30:00" "2023-09-19 03:30:00"
34800 10.94692 9.21364 8.70700 "2023-09-19 03:40:00" "2023-09-19 02:50:00"
34800 10.94692 9.21364 9.06700 "2023-09-19 03:40:00" "2023-09-19 03:00:00"
34800 10.94692 9.21364 9.50800 "2023-09-19 03:40:00" "2023-09-19 03:10:00"
34800 10.94692 9.21364 11.02400 "2023-09-19 03:40:00" "2023-09-19 03:20:00"
34800 10.94692 9.21364 10.45900 "2023-09-19 03:40:00" "2023-09-19 03:30:00"
34800 10.94692 9.21364 9.46500 "2023-09-19 03:40:00" "2023-09-19 03:40:00"
35400 11.16185 9.20897 9.06700 "2023-09-19 03:50:00" "2023-09-19 03:00:00"
35400 11.16185 9.20897 9.50800 "2023-09-19 03:50:00" "2023-09-19 03:10:00"
35400 11.16185 9.20897 11.02400 "2023-09-19 03:50:00" "2023-09-19 03:20:00"
35400 11.16185 9.20897 10.45900 "2023-09-19 03:50:00" "2023-09-19 03:30:00"
35400 11.16185 9.20897 9.46500 "2023-09-19 03:50:00" "2023-09-19 03:40:00"
35400 11.16185 9.20897 11.47000 "2023-09-19 03:50:00" "2023-09-19 03:50:00"
36000 11.62957 9.15387 9.50800 "2023-09-19 04:00:00" "2023-09-19 03:10:00"
36000 11.62957 9.15387 11.02400 "2023-09-19 04:00:00" "2023-09-19 03:20:00"
36000 11.62957 9.15387 10.45900 "2023-09-19 04:00:00" "2023-09-19 03:30:00"
36000 11.62957 9.15387 9.46500 "2023-09-19 04:00:00" "2023-09-19 03:40:00"
36000 11.62957 9.15387 11.47000 "2023-09-19 04:00:00" "2023-09-19 03:50:00"
36000 11.62957 9.15387 11.22200 "2023-09-19 04:00:00" "2023-09-19 04:00:00"
36600 12.06880 8.96671 11.02400 "2023-09-19 04:10:00" "2023-09-19 03:20:00"
36600 12.06880 8.96671 10.45900 "2023-09-19 04:10:00" "2023-09-19 03:30:00"
36600 12.06880 8.96671 9.46500 "2023-09-19 04:10:00" "2023-09-19 03:40:00"
36600 12.06880 8.96671 11.47000 "2023-09-19 04:10:00" "2023-09-19 03:50:00"
36600 12.06880 8.96671 11.22200 "2023-09-19 04:10:00" "2023-09-19 04:00:00"
36600 12.06880 8.96671 11.74000 "2023-09-19 04:10:00" "2023-09-19 04:10:00"
37200 12.29784 9.08202 10.45900 "2023-09-19 04:20:00" "2023-09-19 03:30:00"
37200 12.29784 9.08202 9.46500 "2023-09-19 04:20:00" "2023-09-19 03:40:00"
37200 12.29784 9.08202 11.47000 "2023-09-19 04:20:00" "2023-09-19 03:50:00"
37200 12.29784 9.08202 11.22200 "2023-09-19 04:20:00" "2023-09-19 04:00:00"
37200 12.29784 9.08202 11.74000 "2023-09-19 04:20:00" "2023-09-19 04:10:00"
37200 12.29784 9.08202 11.91300 "2023-09-19 04:20:00" "2023-09-19 04:20:00"
37800 12.47057 9.24458 9.46500 "2023-09-19 04:30:00" "2023-09-19 03:40:00"
37800 12.47057 9.24458 11.47000 "2023-09-19 04:30:00" "2023-09-19 03:50:00"
37800 12.47057 9.24458 11.22200 "2023-09-19 04:30:00" "2023-09-19 04:00:00"
37800 12.47057 9.24458 11.74000 "2023-09-19 04:30:00" "2023-09-19 04:10:00"
37800 12.47057 9.24458 11.91300 "2023-09-19 04:30:00" "2023-09-19 04:20:00"
37800 12.47057 9.24458 12.65900 "2023-09-19 04:30:00" "2023-09-19 04:30:00"
38400 12.59875 9.26762 11.47000 "2023-09-19 04:40:00" "2023-09-19 03:50:00"
38400 12.59875 9.26762 11.22200 "2023-09-19 04:40:00" "2023-09-19 04:00:00"
38400 12.59875 9.26762 11.74000 "2023-09-19 04:40:00" "2023-09-19 04:10:00"
38400 12.59875 9.26762 11.91300 "2023-09-19 04:40:00" "2023-09-19 04:20:00"
38400 12.59875 9.26762 12.65900 "2023-09-19 04:40:00" "2023-09-19 04:30:00"
38400 12.59875 9.26762 12.88200 "2023-09-19 04:40:00" "2023-09-19 04:40:00"
39000 12.69108 9.27315 11.22200 "2023-09-19 04:50:00" "2023-09-19 04:00:00"
39000 12.69108 9.27315 11.74000 "2023-09-19 04:50:00" "2023-09-19 04:10:00"
