20230927
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
30000 3.05903 5.31842 3.16514 "2023-09-28 02:20:00" "2023-09-28 02:20:00"
30600 3.11895 5.35905 3.17882 "2023-09-28 02:30:00" "2023-09-28 01:40:00"
30600 3.11895 5.35905 2.35684 "2023-09-28 02:30:00" "2023-09-28 01:50:00"
30600 3.11895 5.35905 2.88969 "2023-09-28 02:30:00" "2023-09-28 02:00:00"
30600 3.11895 5.35905 3.26081 "2023-09-28 02:30:00" "2023-09-28 02:10:00"
30600 3.11895 5.35905 3.29252 "2023-09-28 02:30:00" "2023-09-28 02:20:00"
30600 3.11895 5.35905 3.10060 "2023-09-28 02:30:00" "2023-09-28 02:30:00"
31200 3.18477 5.41918 2.42002 "2023-09-28 02:40:00" "2023-09-28 01:50:00"
31200 3.18477 5.41918 3.04053 "2023-09-28 02:40:00" "2023-09-28 02:00:00"
31200 3.18477 5.41918 3.47208 "2023-09-28 02:40:00" "2023-09-28 02:10:00"
31200 3.18477 5.41918 3.48986 "2023-09-28 02:40:00" "2023-09-28 02:20:00"
31200 3.18477 5.41918 3.26979 "2023-09-28 02:40:00" "2023-09-28 02:30:00"
31200 3.18477 5.41918 3.23049 "2023-09-28 02:40:00" "2023-09-28 02:40:00"
31800 3.35669 5.38464 3.18239 "2023-09-28 02:50:00" "2023-09-28 02:00:00"
31800 3.35669 5.38464 3.65790 "2023-09-28 02:50:00" "2023-09-28 02:10:00"
31800 3.35669 5.38464 3.67229 "2023-09-28 02:50:00" "2023-09-28 02:20:00"
31800 3.35669 5.38464 3.42374 "2023-09-28 02:50:00" "2023-09-28 02:30:00"
31800 3.35669 5.38464 3.28124 "2023-09-28 02:50:00" "2023-09-28 02:40:00"
31800 3.35669 5.38464 3.33465 "2023-09-28 02:50:00" "2023-09-28 02:50:00"
32400 3.47441 5.44384 3.81300 "2023-09-28 03:00:00" "2023-09-28 02:10:00"
32400 3.47441 5.44384 3.81677 "2023-09-28 03:00:00" "2023-09-28 02:20:00"
32400 3.47441 5.44384 3.53174 "2023-09-28 03:00:00" "2023-09-28 02:30:00"
32400 3.47441 5.44384 3.33227 "2023-09-28 03:00:00" "2023-09-28 02:40:00"
32400 3.47441 5.44384 3.52374 "2023-09-28 03:00:00" "2023-09-28 02:50:00"
32400 3.47441 5.44384 3.52787 "2023-09-28 03:00:00" "2023-09-28 03:00:00"
33000 3.55608 5.58172 4.02914 "2023-09-28 03:10:00" "2023-09-28 02:20:00"
33000 3.55608 5.58172 3.73030 "2023-09-28 03:10:00" "2023-09-28 02:30:00"
33000 3.55608 5.58172 3.48983 "2023-09-28 03:10:00" "2023-09-28 02:40:00"
33000 3.55608 5.58172 3.76887 "2023-09-28 03:10:00" "2023-09-28 02:50:00"
33000 3.55608 5.58172 3.73216 "2023-09-28 03:10:00" "2023-09-28 03:00:00"
33000 3.55608 5.58172 3.58641 "2023-09-28 03:10:00" "2023-09-28 03:10:00"
33600 3.62728 5.74917 3.99976 "2023-09-28 03:20:00" "2023-09-28 02:30:00"
33600 3.62728 5.74917 3.71552 "2023-09-28 03:20:00" "2023-09-28 02:40:00"
33600 3.62728 5.74917 4.05491 "2023-09-28 03:20:00" "2023-09-28 02:50:00"
33600 3.62728 5.74917 4.00008 "2023-09-28 03:20:00" "2023-09-28 03:00:00"
33600 3.62728 5.74917 3.77055 "2023-09-28 03:20:00" "2023-09-28 03:10:00"
33600 3.62728 5.74917 3.60979 "2023-09-28 03:20:00" "2023-09-28 03:20:00"
34200 3.73257 5.98970 3.98565 "2023-09-28 03:30:00" "2023-09-28 02:40:00"
34200 3.73257 5.98970 4.39491 "2023-09-28 03:30:00" "2023-09-28 02:50:00"
34200 3.73257 5.98970 4.32794 "2023-09-28 03:30:00" "2023-09-28 03:00:00"
34200 3.73257 5.98970 4.04417 "2023-09-28 03:30:00" "2023-09-28 03:10:00"
34200 3.73257 5.98970 3.79264 "2023-09-28 03:30:00" "2023-09-28 03:20:00"
34200 3.73257 5.98970 3.73246 "2023-09-28 03:30:00" "2023-09-28 03:30:00"
34800 3.79211 6.20851 4.67213 "2023-09-28 03:40:00" "2023-09-28 02:50:00"
