20230908
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
34800 9999.00000 2.68339 9999.00000 "2023-09-08 15:40:00" "2023-09-08 15:20:00"
34800 9999.00000 2.68339 9999.00000 "2023-09-08 15:40:00" "2023-09-08 15:30:00"
34800 9999.00000 2.68339 9999.00000 "2023-09-08 15:40:00" "2023-09-08 15:40:00"
35400 9999.00000 2.74508 9999.00000 "2023-09-08 15:50:00" "2023-09-08 15:00:00"
35400 9999.00000 2.74508 9999.00000 "2023-09-08 15:50:00" "2023-09-08 15:10:00"
35400 9999.00000 2.74508 9999.00000 "2023-09-08 15:50:00" "2023-09-08 15:20:00"
35400 9999.00000 2.74508 9999.00000 "2023-09-08 15:50:00" "2023-09-08 15:30:00"
35400 9999.00000 2.74508 9999.00000 "2023-09-08 15:50:00" "2023-09-08 15:40:00"
35400 9999.00000 2.74508 9999.00000 "2023-09-08 15:50:00" "2023-09-08 15:50:00"
36000 9999.00000 2.80309 9999.00000 "2023-09-08 16:00:00" "2023-09-08 15:10:00"
36000 9999.00000 2.80309 9999.00000 "2023-09-08 16:00:00" "2023-09-08 15:20:00"
36000 9999.00000 2.80309 9999.00000 "2023-09-08 16:00:00" "2023-09-08 15:30:00"
36000 9999.00000 2.80309 9999.00000 "2023-09-08 16:00:00" "2023-09-08 15:40:00"
36000 9999.00000 2.80309 9999.00000 "2023-09-08 16:00:00" "2023-09-08 15:50:00"
36000 9999.00000 2.80309 9999.00000 "2023-09-08 16:00:00" "2023-09-08 16:00:00"
36600 9999.00000 2.83614 9999.00000 "2023-09-08 16:10:00" "2023-09-08 15:20:00"
36600 9999.00000 2.83614 9999.00000 "2023-09-08 16:10:00" "2023-09-08 15:30:00"
36600 9999.00000 2.83614 9999.00000 "2023-09-08 16:10:00" "2023-09-08 15:40:00"
36600 9999.00000 2.83614 9999.00000 "2023-09-08 16:10:00" "2023-09-08 15:50:00"
36600 9999.00000 2.83614 9999.00000 "2023-09-08 16:10:00" "2023-09-08 16:00:00"
36600 9999.00000 2.83614 9999.00000 "2023-09-08 16:10:00" "2023-09-08 16:10:00"
37200 9999.00000 2.84912 9999.00000 "2023-09-08 16:20:00" "2023-09-08 15:30:00"
37200 9999.00000 2.84912 9999.00000 "2023-09-08 16:20:00" "2023-09-08 15:40:00"
37200 9999.00000 2.84912 9999.00000 "2023-09-08 16:20:00" "2023-09-08 15:50:00"
37200 9999.00000 2.84912 9999.00000 "2023-09-08 16:20:00" "2023-09-08 16:00:00"
37200 9999.00000 2.84912 9999.00000 "2023-09-08 16:20:00" "2023-09-08 16:10:00"
37200 9999.00000 2.84912 9999.00000 "2023-09-08 16:20:00" "2023-09-08 16:20:00"
37800 9999.00000 2.85480 9999.00000 "2023-09-08 16:30:00" "2023-09-08 15:40:00"
37800 9999.00000 2.85480 9999.00000 "2023-09-08 16:30:00" "2023-09-08 15:50:00"
37800 9999.00000 2.85480 9999.00000 "2023-09-08 16:30:00" "2023-09-08 16:00:00"
37800 9999.00000 2.85480 9999.00000 "2023-09-08 16:30:00" "2023-09-08 16:10:00"
37800 9999.00000 2.85480 9999.00000 "2023-09-08 16:30:00" "2023-09-08 16:20:00"
37800 9999.00000 2.85480 9999.00000 "2023-09-08 16:30:00" "2023-09-08 16:30:00"
38400 9999.00000 2.86387 9999.00000 "2023-09-08 16:40:00" "2023-09-08 15:50:00"
38400 9999.00000 2.86387 9999.00000 "2023-09-08 16:40:00" "2023-09-08 16:00:00"
38400 9999.00000 2.86387 9999.00000 "2023-09-08 16:40:00" "2023-09-08 16:10:00"
38400 9999.00000 2.86387 9999.00000 "2023-09-08 16:40:00" "2023-09-08 16:20:00"
38400 9999.00000 2.86387 9999.00000 "2023-09-08 16:40:00" "2023-09-08 16:30:00"
38400 9999.00000 2.86387 9999.00000 "2023-09-08 16:40:00" "2023-09-08 16:40:00"
39000 9999.00000 2.89035 9999.00000 "2023-09-08 16:50:00" "2023-09-08 16:00:00"
39000 9999.00000 2.89035 9999.00000 "2023-09-08 16:50:00" "2023-09-08 16:10:00"
39000 9999.00000 2.89035 9999.00000 "2023-09-08 16:50:00" "2023-09-08 16:20:00"
39000 9999.00000 2.89035 9999.00000 "2023-09-08 16:50:00" "2023-09-08 16:30:00"
39000 9999.00000 2.89035 9999.00000 "2023-09-08 16:50:00" "2023-09-08 16:40:00"
39000 9999.00000 2.89035 9999.00000 "2023-09-08 16:50:00" "2023-09-08 16:50:00"
39600 9999.00000 2.90844 9999.00000 "2023-09-08 17:00:00" "2023-09-08 16:10:00"
39600 9999.00000 2.90844 9999.00000 "2023-09-08 17:00:00" "2023-09-08 16:20:00"
39600 9999.00000 2.90844 9999.00000 "2023-09-08 17:00:00" "2023-09-08 16:30:00"
39600 9999.00000 2.90844 9999.00000 "2023-09-08 17:00:00" "2023-09-08 16:40:00"
39600 9999.00000 2.90844 9999.00000 "2023-09-08 17:00:00" "2023-09-08 16:50:00"
39600 9999.00000 2.90844 9999.00000 "2023-09-08 17:00:00" "2023-09-08 17:00:00"
40200 9999.00000 2.92271 9999.00000 "2023-09-08 17:10:00" "2023-09-08 16:20:00"
40200 9999.00000 2.92271 9999.00000 "2023-09-08 17:10:00" "2023-09-08 16:30:00"
40200 9999.00000 2.92271 9999.00000 "2023-09-08 17:10:00" "2023-09-08 16:40:00"
40200 9999.00000 2.92271 9999.00000 "2023-09-08 17:10:00" "2023-09-08 16:50:00"
40200 9999.00000 2.92271 9999.00000 "2023-09-08 17:10:00" "2023-09-08 17:00:00"
40200 9999.00000 2.92271 9999.00000 "2023-09-08 17:10:00" "2023-09-08 17:10:00"
40800 9999.00000 2.94924 9999.00000 "2023-09-08 17:20:00" "2023-09-08 16:30:00"
40800 9999.00000 2.94924 9999.00000 "2023-09-08 17:20:00" "2023-09-08 16:40:00"
40800 9999.00000 2.94924 9999.00000 "2023-09-08 17:20:00" "2023-09-08 16:50:00"
40800 9999.00000 2.94924 9999.00000 "2023-09-08 17:20:00" "2023-09-08 17:00:00"
40800 9999.00000 2.94924 9999.00000 "2023-09-08 17:20:00" "2023-09-08 17:10:00"
40800 9999.00000 2.94924 9999.00000 "2023-09-08 17:20:00" "2023-09-08 17:20:00"
41400 9999.00000 2.97532 9999.00000 "2023-09-08 17:30:00" "2023-09-08 16:40:00"
41400 9999.00000 2.97532 9999.00000 "2023-09-08 17:30:00" "2023-09-08 16:50:00"
41400 9999.00000 2.97532 9999.00000 "2023-09-08 17:30:00" "2023-09-08 17:00:00"
41400 9999.00000 2.97532 9999.00000 "2023-09-08 17:30:00" "2023-09-08 17:10:00"
41400 9999.00000 2.97532 9999.00000 "2023-09-08 17:30:00" "2023-09-08 17:20:00"
41400 9999.00000 2.97532 9999.00000 "2023-09-08 17:30:00" "2023-09-08 17:30:00"
42000 9999.00000 2.99678 9999.00000 "2023-09-08 17:40:00" "2023-09-08 16:50:00"
42000 9999.00000 2.99678 9999.00000 "2023-09-08 17:40:00" "2023-09-08 17:00:00"
42000 9999.00000 2.99678 9999.00000 "2023-09-08 17:40:00" "2023-09-08 17:10:00"
42000 9999.00000 2.99678 9999.00000 "2023-09-08 17:40:00" "2023-09-08 17:20:00"
42000 9999.00000 2.99678 9999.00000 "2023-09-08 17:40:00" "2023-09-08 17:30:00"
42000 9999.00000 2.99678 9999.00000 "2023-09-08 17:40:00" "2023-09-08 17:40:00"
42600 9999.00000 3.00485 9999.00000 "2023-09-08 17:50:00" "2023-09-08 17:00:00"
42600 9999.00000 3.00485 9999.00000 "2023-09-08 17:50:00" "2023-09-08 17:10:00"
42600 9999.00000 3.00485 9999.00000 "2023-09-08 17:50:00" "2023-09-08 17:20:00"
42600 9999.00000 3.00485 9999.00000 "2023-09-08 17:50:00" "2023-09-08 17:30:00"
42600 9999.00000 3.00485 9999.00000 "2023-09-08 17:50:00" "2023-09-08 17:40:00"
42600 9999.00000 3.00485 9999.00000 "2023-09-08 17:50:00" "2023-09-08 17:50:00"
43200 9999.00000 3.00889 9999.00000 "2023-09-08 18:00:00" "2023-09-08 17:10:00"
43200 9999.00000 3.00889 9999.00000 "2023-09-08 18:00:00" "2023-09-08 17:20:00"
43200 9999.00000 3.00889 9999.00000 "2023-09-08 18:00:00" "2023-09-08 17:30:00"
43200 9999.00000 3.00889 9999.00000 "2023-09-08 18:00:00" "2023-09-08 17:40:00"
43200 9999.00000 3.00889 9999.00000 "2023-09-08 18:00:00" "2023-09-08 17:50:00"
43200 9999.00000 3.00889 9999.00000 "2023-09-08 18:00:00" "2023-09-08 18:00:00"
43800 9999.00000 3.01193 9999.00000 "2023-09-08 18:10:00" "2023-09-08 17:20:00"
43800 9999.00000 3.01193 9999.00000 "2023-09-08 18:10:00" "2023-09-08 17:30:00"
43800 9999.00000 3.01193 9999.00000 "2023-09-08 18:10:00" "2023-09-08 17:40:00"
43800 9999.00000 3.01193 9999.00000 "2023-09-08 18:10:00" "2023-09-08 17:50:00"
43800 9999.00000 3.01193 9999.00000 "2023-09-08 18:10:00" "2023-09-08 18:00:00"
43800 9999.00000 3.01193 9999.00000 "2023-09-08 18:10:00" "2023-09-08 18:10:00"
44400 9999.00000 3.00276 9999.00000 "2023-09-08 18:20:00" "2023-09-08 17:30:00"
44400 9999.00000 3.00276 9999.00000 "2023-09-08 18:20:00" "2023-09-08 17:40:00"
44400 9999.00000 3.00276 9999.00000 "2023-09-08 18:20:00" "2023-09-08 17:50:00"
44400 9999.00000 3.00276 9999.00000 "2023-09-08 18:20:00" "2023-09-08 18:00:00"
44400 9999.00000 3.00276 9999.00000 "2023-09-08 18:20:00" "2023-09-08 18:10:00"
44400 9999.00000 3.00276 9999.00000 "2023-09-08 18:20:00" "2023-09-08 18:20:00"
45000 9999.00000 2.99171 9999.00000 "2023-09-08 18:30:00" "2023-09-08 17:40:00"
45000 9999.00000 2.99171 9999.00000 "2023-09-08 18:30:00" "2023-09-08 17:50:00"
45000 9999.00000 2.99171 9999.00000 "2023-09-08 18:30:00" "2023-09-08 18:00:00"
45000 9999.00000 2.99171 9999.00000 "2023-09-08 18:30:00" "2023-09-08 18:10:00"
45000 9999.00000 2.99171 9999.00000 "2023-09-08 18:30:00" "2023-09-08 18:20:00"
45000 9999.00000 2.99171 9999.00000 "2023-09-08 18:30:00" "2023-09-08 18:30:00"
45600 9999.00000 2.97446 9999.00000 "2023-09-08 18:40:00" "2023-09-08 17:50:00"
45600 9999.00000 2.97446 9999.00000 "2023-09-08 18:40:00" "2023-09-08 18:00:00"
45600 9999.00000 2.97446 9999.00000 "2023-09-08 18:40:00" "2023-09-08 18:10:00"
45600 9999.00000 2.97446 9999.00000 "2023-09-08 18:40:00" "2023-09-08 18:20:00"
