20230914
Seconds MEASURES_pwv(mm) MNH_PWV(mm) "AR_PWV (mm)" Date_of_forecast Date_of_computing
36000 9999.00000 3.94298 4.01120 "2023-09-14 16:00:00" "2023-09-14 15:30:00"
36000 9999.00000 3.94298 4.01091 "2023-09-14 16:00:00" "2023-09-14 15:40:00"
36000 9999.00000 3.94298 4.00046 "2023-09-14 16:00:00" "2023-09-14 15:50:00"
36000 9999.00000 3.94298 3.98859 "2023-09-14 16:00:00" "2023-09-14 16:00:00"
36600 9999.00000 3.92752 4.03016 "2023-09-14 16:10:00" "2023-09-14 15:20:00"
36600 9999.00000 3.92752 3.98878 "2023-09-14 16:10:00" "2023-09-14 15:30:00"
36600 9999.00000 3.92752 3.98834 "2023-09-14 16:10:00" "2023-09-14 15:40:00"
36600 9999.00000 3.92752 3.97317 "2023-09-14 16:10:00" "2023-09-14 15:50:00"
36600 9999.00000 3.92752 3.95438 "2023-09-14 16:10:00" "2023-09-14 16:00:00"
36600 9999.00000 3.92752 3.95051 "2023-09-14 16:10:00" "2023-09-14 16:10:00"
37200 9999.00000 3.91234 3.96826 "2023-09-14 16:20:00" "2023-09-14 15:30:00"
37200 9999.00000 3.91234 3.96770 "2023-09-14 16:20:00" "2023-09-14 15:40:00"
37200 9999.00000 3.91234 3.94823 "2023-09-14 16:20:00" "2023-09-14 15:50:00"
37200 9999.00000 3.91234 3.91950 "2023-09-14 16:20:00" "2023-09-14 16:00:00"
37200 9999.00000 3.91234 3.91379 "2023-09-14 16:20:00" "2023-09-14 16:10:00"
37200 9999.00000 3.91234 3.91030 "2023-09-14 16:20:00" "2023-09-14 16:20:00"
37800 9999.00000 3.90302 3.95016 "2023-09-14 16:30:00" "2023-09-14 15:40:00"
37800 9999.00000 3.90302 3.92620 "2023-09-14 16:30:00" "2023-09-14 15:50:00"
37800 9999.00000 3.90302 3.88727 "2023-09-14 16:30:00" "2023-09-14 16:00:00"
37800 9999.00000 3.90302 3.87791 "2023-09-14 16:30:00" "2023-09-14 16:10:00"
37800 9999.00000 3.90302 3.87659 "2023-09-14 16:30:00" "2023-09-14 16:20:00"
37800 9999.00000 3.90302 3.87020 "2023-09-14 16:30:00" "2023-09-14 16:30:00"
38400 9999.00000 3.89773 3.90751 "2023-09-14 16:40:00" "2023-09-14 15:50:00"
38400 9999.00000 3.89773 3.85885 "2023-09-14 16:40:00" "2023-09-14 16:00:00"
38400 9999.00000 3.89773 3.84539 "2023-09-14 16:40:00" "2023-09-14 16:10:00"
38400 9999.00000 3.89773 3.84392 "2023-09-14 16:40:00" "2023-09-14 16:20:00"
38400 9999.00000 3.89773 3.83560 "2023-09-14 16:40:00" "2023-09-14 16:30:00"
38400 9999.00000 3.89773 3.84165 "2023-09-14 16:40:00" "2023-09-14 16:40:00"
39000 9999.00000 3.88531 3.83274 "2023-09-14 16:50:00" "2023-09-14 16:00:00"
