20230921
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
34200 3.94077 3.35123 9999.00000 "2023-09-22 03:30:00" "2023-09-22 03:30:00"
34800 3.91785 3.38075 4.18800 "2023-09-22 03:40:00" "2023-09-22 02:50:00"
34800 3.91785 3.38075 4.11300 "2023-09-22 03:40:00" "2023-09-22 03:00:00"
34800 3.91785 3.38075 4.08000 "2023-09-22 03:40:00" "2023-09-22 03:10:00"
34800 3.91785 3.38075 3.94900 "2023-09-22 03:40:00" "2023-09-22 03:20:00"
34800 3.91785 3.38075 9999.00000 "2023-09-22 03:40:00" "2023-09-22 03:30:00"
34800 3.91785 3.38075 3.90000 "2023-09-22 03:40:00" "2023-09-22 03:40:00"
35400 3.91692 3.42812 4.11300 "2023-09-22 03:50:00" "2023-09-22 03:00:00"
35400 3.91692 3.42812 4.08000 "2023-09-22 03:50:00" "2023-09-22 03:10:00"
35400 3.91692 3.42812 3.94900 "2023-09-22 03:50:00" "2023-09-22 03:20:00"
35400 3.91692 3.42812 9999.00000 "2023-09-22 03:50:00" "2023-09-22 03:30:00"
35400 3.91692 3.42812 3.90000 "2023-09-22 03:50:00" "2023-09-22 03:40:00"
35400 3.91692 3.42812 3.91200 "2023-09-22 03:50:00" "2023-09-22 03:50:00"
36000 3.92088 3.48145 4.08000 "2023-09-22 04:00:00" "2023-09-22 03:10:00"
36000 3.92088 3.48145 3.94900 "2023-09-22 04:00:00" "2023-09-22 03:20:00"
36000 3.92088 3.48145 9999.00000 "2023-09-22 04:00:00" "2023-09-22 03:30:00"
36000 3.92088 3.48145 3.90000 "2023-09-22 04:00:00" "2023-09-22 03:40:00"
36000 3.92088 3.48145 3.91200 "2023-09-22 04:00:00" "2023-09-22 03:50:00"
36000 3.92088 3.48145 3.93200 "2023-09-22 04:00:00" "2023-09-22 04:00:00"
36600 3.90915 3.52786 3.94900 "2023-09-22 04:10:00" "2023-09-22 03:20:00"
36600 3.90915 3.52786 9999.00000 "2023-09-22 04:10:00" "2023-09-22 03:30:00"
36600 3.90915 3.52786 3.90000 "2023-09-22 04:10:00" "2023-09-22 03:40:00"
36600 3.90915 3.52786 3.91200 "2023-09-22 04:10:00" "2023-09-22 03:50:00"
36600 3.90915 3.52786 3.93200 "2023-09-22 04:10:00" "2023-09-22 04:00:00"
36600 3.90915 3.52786 3.88700 "2023-09-22 04:10:00" "2023-09-22 04:10:00"
37200 3.88449 3.56895 9999.00000 "2023-09-22 04:20:00" "2023-09-22 03:30:00"
37200 3.88449 3.56895 3.90000 "2023-09-22 04:20:00" "2023-09-22 03:40:00"
37200 3.88449 3.56895 3.91200 "2023-09-22 04:20:00" "2023-09-22 03:50:00"
37200 3.88449 3.56895 3.93200 "2023-09-22 04:20:00" "2023-09-22 04:00:00"
