20230917
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
22200 9.68667 9.55775 10.40143 "2023-09-18 00:10:00" "2023-09-17 23:40:00"
22200 9.68667 9.55775 9.42800 "2023-09-18 00:10:00" "2023-09-17 23:50:00"
22200 9.68667 9.55775 8.80200 "2023-09-18 00:10:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 9.03300 "2023-09-18 00:10:00" "2023-09-18 00:10:00"
22200 9.68667 9.55775 10.80700 "2023-09-18 00:10:00" "2023-09-17 23:20:00"
22200 9.68667 9.55775 10.61800 "2023-09-18 00:10:00" "2023-09-17 23:30:00"
22200 9.68667 9.55775 10.40143 "2023-09-18 00:10:00" "2023-09-17 23:40:00"
22200 9.68667 9.55775 9.42800 "2023-09-18 00:10:00" "2023-09-17 23:50:00"
22200 9.68667 9.55775 8.80200 "2023-09-18 00:10:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 9.03300 "2023-09-18 00:10:00" "2023-09-18 00:10:00"
22200 9.68667 9.55775 10.80700 "2023-09-18 00:10:00" "2023-09-17 23:20:00"
22200 9.68667 9.55775 10.61800 "2023-09-18 00:10:00" "2023-09-17 23:30:00"
22200 9.68667 9.55775 10.40143 "2023-09-18 00:10:00" "2023-09-17 23:40:00"
22200 9.68667 9.55775 9.42800 "2023-09-18 00:10:00" "2023-09-17 23:50:00"
22200 9.68667 9.55775 8.80200 "2023-09-18 00:10:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 9.03300 "2023-09-18 00:10:00" "2023-09-18 00:10:00"
22200 9.68667 9.55775 10.80700 "2023-09-18 00:10:00" "2023-09-17 23:20:00"
22200 9.68667 9.55775 10.61800 "2023-09-18 00:10:00" "2023-09-17 23:30:00"
22200 9.68667 9.55775 10.40143 "2023-09-18 00:10:00" "2023-09-17 23:40:00"
22200 9.68667 9.55775 9.42800 "2023-09-18 00:10:00" "2023-09-17 23:50:00"
22200 9.68667 9.55775 8.80200 "2023-09-18 00:10:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 9.03300 "2023-09-18 00:10:00" "2023-09-18 00:10:00"
22200 9.68667 9.55775 10.80700 "2023-09-18 00:10:00" "2023-09-17 23:20:00"
22200 9.68667 9.55775 10.61800 "2023-09-18 00:10:00" "2023-09-17 23:30:00"
22200 9.68667 9.55775 10.40143 "2023-09-18 00:10:00" "2023-09-17 23:40:00"
22200 9.68667 9.55775 9.42800 "2023-09-18 00:10:00" "2023-09-17 23:50:00"
22200 9.68667 9.55775 8.80200 "2023-09-18 00:10:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 9.03300 "2023-09-18 00:10:00" "2023-09-18 00:10:00"
22200 9.68667 9.55775 10.80700 "2023-09-18 00:10:00" "2023-09-17 23:20:00"
22200 9.68667 9.55775 10.61800 "2023-09-18 00:10:00" "2023-09-17 23:30:00"
22200 9.68667 9.55775 10.40143 "2023-09-18 00:10:00" "2023-09-17 23:40:00"
22200 9.68667 9.55775 9.42800 "2023-09-18 00:10:00" "2023-09-17 23:50:00"
22200 9.68667 9.55775 8.80200 "2023-09-18 00:10:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 9.03300 "2023-09-18 00:10:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 10.61800 "2023-09-18 00:20:00" "2023-09-17 23:30:00"
22800 9.42129 9.68172 10.40143 "2023-09-18 00:20:00" "2023-09-17 23:40:00"
22800 9.42129 9.68172 9.42800 "2023-09-18 00:20:00" "2023-09-17 23:50:00"
22800 9.42129 9.68172 8.80200 "2023-09-18 00:20:00" "2023-09-18 00:00:00"
22800 9.42129 9.68172 9.03300 "2023-09-18 00:20:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 9.08900 "2023-09-18 00:20:00" "2023-09-18 00:20:00"
22800 9.42129 9.68172 10.61800 "2023-09-18 00:20:00" "2023-09-17 23:30:00"
22800 9.42129 9.68172 10.40143 "2023-09-18 00:20:00" "2023-09-17 23:40:00"
22800 9.42129 9.68172 9.42800 "2023-09-18 00:20:00" "2023-09-17 23:50:00"
22800 9.42129 9.68172 8.80200 "2023-09-18 00:20:00" "2023-09-18 00:00:00"
22800 9.42129 9.68172 9.03300 "2023-09-18 00:20:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 9.08900 "2023-09-18 00:20:00" "2023-09-18 00:20:00"
22800 9.42129 9.68172 10.61800 "2023-09-18 00:20:00" "2023-09-17 23:30:00"
22800 9.42129 9.68172 10.40143 "2023-09-18 00:20:00" "2023-09-17 23:40:00"
22800 9.42129 9.68172 9.42800 "2023-09-18 00:20:00" "2023-09-17 23:50:00"
22800 9.42129 9.68172 8.80200 "2023-09-18 00:20:00" "2023-09-18 00:00:00"
22800 9.42129 9.68172 9.03300 "2023-09-18 00:20:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 9.08900 "2023-09-18 00:20:00" "2023-09-18 00:20:00"
22800 9.42129 9.68172 10.61800 "2023-09-18 00:20:00" "2023-09-17 23:30:00"
22800 9.42129 9.68172 10.40143 "2023-09-18 00:20:00" "2023-09-17 23:40:00"
22800 9.42129 9.68172 9.42800 "2023-09-18 00:20:00" "2023-09-17 23:50:00"
22800 9.42129 9.68172 8.80200 "2023-09-18 00:20:00" "2023-09-18 00:00:00"
22800 9.42129 9.68172 9.03300 "2023-09-18 00:20:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 9.08900 "2023-09-18 00:20:00" "2023-09-18 00:20:00"
22800 9.42129 9.68172 10.61800 "2023-09-18 00:20:00" "2023-09-17 23:30:00"
22800 9.42129 9.68172 10.40143 "2023-09-18 00:20:00" "2023-09-17 23:40:00"
22800 9.42129 9.68172 9.42800 "2023-09-18 00:20:00" "2023-09-17 23:50:00"
22800 9.42129 9.68172 8.80200 "2023-09-18 00:20:00" "2023-09-18 00:00:00"
22800 9.42129 9.68172 9.03300 "2023-09-18 00:20:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 9.08900 "2023-09-18 00:20:00" "2023-09-18 00:20:00"
22800 9.42129 9.68172 10.61800 "2023-09-18 00:20:00" "2023-09-17 23:30:00"
22800 9.42129 9.68172 10.40143 "2023-09-18 00:20:00" "2023-09-17 23:40:00"
22800 9.42129 9.68172 9.42800 "2023-09-18 00:20:00" "2023-09-17 23:50:00"
22800 9.42129 9.68172 8.80200 "2023-09-18 00:20:00" "2023-09-18 00:00:00"
22800 9.42129 9.68172 9.03300 "2023-09-18 00:20:00" "2023-09-18 00:10:00"
22800 9.42129 9.68172 9.08900 "2023-09-18 00:20:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 10.40143 "2023-09-18 00:30:00" "2023-09-17 23:40:00"
23400 9.11061 9.94434 9.42800 "2023-09-18 00:30:00" "2023-09-17 23:50:00"
23400 9.11061 9.94434 8.80200 "2023-09-18 00:30:00" "2023-09-18 00:00:00"
23400 9.11061 9.94434 9.03300 "2023-09-18 00:30:00" "2023-09-18 00:10:00"
23400 9.11061 9.94434 9.08900 "2023-09-18 00:30:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 9.04700 "2023-09-18 00:30:00" "2023-09-18 00:30:00"
23400 9.11061 9.94434 10.40143 "2023-09-18 00:30:00" "2023-09-17 23:40:00"
23400 9.11061 9.94434 9.42800 "2023-09-18 00:30:00" "2023-09-17 23:50:00"
23400 9.11061 9.94434 8.80200 "2023-09-18 00:30:00" "2023-09-18 00:00:00"
23400 9.11061 9.94434 9.03300 "2023-09-18 00:30:00" "2023-09-18 00:10:00"
23400 9.11061 9.94434 9.08900 "2023-09-18 00:30:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 9.04700 "2023-09-18 00:30:00" "2023-09-18 00:30:00"
23400 9.11061 9.94434 10.40143 "2023-09-18 00:30:00" "2023-09-17 23:40:00"
23400 9.11061 9.94434 9.42800 "2023-09-18 00:30:00" "2023-09-17 23:50:00"
23400 9.11061 9.94434 8.80200 "2023-09-18 00:30:00" "2023-09-18 00:00:00"
23400 9.11061 9.94434 9.03300 "2023-09-18 00:30:00" "2023-09-18 00:10:00"
23400 9.11061 9.94434 9.08900 "2023-09-18 00:30:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 9.04700 "2023-09-18 00:30:00" "2023-09-18 00:30:00"
23400 9.11061 9.94434 10.40143 "2023-09-18 00:30:00" "2023-09-17 23:40:00"
23400 9.11061 9.94434 9.42800 "2023-09-18 00:30:00" "2023-09-17 23:50:00"
23400 9.11061 9.94434 8.80200 "2023-09-18 00:30:00" "2023-09-18 00:00:00"
23400 9.11061 9.94434 9.03300 "2023-09-18 00:30:00" "2023-09-18 00:10:00"
23400 9.11061 9.94434 9.08900 "2023-09-18 00:30:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 9.04700 "2023-09-18 00:30:00" "2023-09-18 00:30:00"
23400 9.11061 9.94434 10.40143 "2023-09-18 00:30:00" "2023-09-17 23:40:00"
23400 9.11061 9.94434 9.42800 "2023-09-18 00:30:00" "2023-09-17 23:50:00"
23400 9.11061 9.94434 8.80200 "2023-09-18 00:30:00" "2023-09-18 00:00:00"
23400 9.11061 9.94434 9.03300 "2023-09-18 00:30:00" "2023-09-18 00:10:00"
23400 9.11061 9.94434 9.08900 "2023-09-18 00:30:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 9.04700 "2023-09-18 00:30:00" "2023-09-18 00:30:00"
23400 9.11061 9.94434 10.40143 "2023-09-18 00:30:00" "2023-09-17 23:40:00"
23400 9.11061 9.94434 9.42800 "2023-09-18 00:30:00" "2023-09-17 23:50:00"
23400 9.11061 9.94434 8.80200 "2023-09-18 00:30:00" "2023-09-18 00:00:00"
23400 9.11061 9.94434 9.03300 "2023-09-18 00:30:00" "2023-09-18 00:10:00"
23400 9.11061 9.94434 9.08900 "2023-09-18 00:30:00" "2023-09-18 00:20:00"
23400 9.11061 9.94434 9.04700 "2023-09-18 00:30:00" "2023-09-18 00:30:00"
24000 8.78310 10.04805 9.42800 "2023-09-18 00:40:00" "2023-09-17 23:50:00"
24000 8.78310 10.04805 8.80200 "2023-09-18 00:40:00" "2023-09-18 00:00:00"
24000 8.78310 10.04805 9.03300 "2023-09-18 00:40:00" "2023-09-18 00:10:00"
24000 8.78310 10.04805 9.08900 "2023-09-18 00:40:00" "2023-09-18 00:20:00"
24000 8.78310 10.04805 9.04700 "2023-09-18 00:40:00" "2023-09-18 00:30:00"
24000 8.78310 10.04805 8.32100 "2023-09-18 00:40:00" "2023-09-18 00:40:00"
24000 8.78310 10.04805 9.42800 "2023-09-18 00:40:00" "2023-09-17 23:50:00"
24000 8.78310 10.04805 8.80200 "2023-09-18 00:40:00" "2023-09-18 00:00:00"
24000 8.78310 10.04805 9.03300 "2023-09-18 00:40:00" "2023-09-18 00:10:00"
24000 8.78310 10.04805 9.08900 "2023-09-18 00:40:00" "2023-09-18 00:20:00"
24000 8.78310 10.04805 9.04700 "2023-09-18 00:40:00" "2023-09-18 00:30:00"
24000 8.78310 10.04805 8.32100 "2023-09-18 00:40:00" "2023-09-18 00:40:00"
24000 8.78310 10.04805 9.42800 "2023-09-18 00:40:00" "2023-09-17 23:50:00"
24000 8.78310 10.04805 8.80200 "2023-09-18 00:40:00" "2023-09-18 00:00:00"
24000 8.78310 10.04805 9.03300 "2023-09-18 00:40:00" "2023-09-18 00:10:00"
24000 8.78310 10.04805 9.08900 "2023-09-18 00:40:00" "2023-09-18 00:20:00"
24000 8.78310 10.04805 9.04700 "2023-09-18 00:40:00" "2023-09-18 00:30:00"
24000 8.78310 10.04805 8.32100 "2023-09-18 00:40:00" "2023-09-18 00:40:00"
24000 8.78310 10.04805 9.42800 "2023-09-18 00:40:00" "2023-09-17 23:50:00"
24000 8.78310 10.04805 8.80200 "2023-09-18 00:40:00" "2023-09-18 00:00:00"
24000 8.78310 10.04805 9.03300 "2023-09-18 00:40:00" "2023-09-18 00:10:00"
24000 8.78310 10.04805 9.08900 "2023-09-18 00:40:00" "2023-09-18 00:20:00"
24000 8.78310 10.04805 9.04700 "2023-09-18 00:40:00" "2023-09-18 00:30:00"
24000 8.78310 10.04805 8.32100 "2023-09-18 00:40:00" "2023-09-18 00:40:00"
24000 8.78310 10.04805 9.42800 "2023-09-18 00:40:00" "2023-09-17 23:50:00"
24000 8.78310 10.04805 8.80200 "2023-09-18 00:40:00" "2023-09-18 00:00:00"
24000 8.78310 10.04805 9.03300 "2023-09-18 00:40:00" "2023-09-18 00:10:00"
24000 8.78310 10.04805 9.08900 "2023-09-18 00:40:00" "2023-09-18 00:20:00"
24000 8.78310 10.04805 9.04700 "2023-09-18 00:40:00" "2023-09-18 00:30:00"
24000 8.78310 10.04805 8.32100 "2023-09-18 00:40:00" "2023-09-18 00:40:00"
24000 8.78310 10.04805 9.42800 "2023-09-18 00:40:00" "2023-09-17 23:50:00"
24000 8.78310 10.04805 8.80200 "2023-09-18 00:40:00" "2023-09-18 00:00:00"
24000 8.78310 10.04805 9.03300 "2023-09-18 00:40:00" "2023-09-18 00:10:00"
24000 8.78310 10.04805 9.08900 "2023-09-18 00:40:00" "2023-09-18 00:20:00"
