20230902
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
28800 4.14590 9.58110 4.00000 "2023-09-02 14:00:00" "2023-09-02 14:00:00"
29400 4.34098 9.23467 4.00000 "2023-09-02 14:10:00" "2023-09-02 13:20:00"
29400 4.34098 9.23467 4.00000 "2023-09-02 14:10:00" "2023-09-02 13:30:00"
29400 4.34098 9.23467 3.90000 "2023-09-02 14:10:00" "2023-09-02 13:40:00"
29400 4.34098 9.23467 4.00000 "2023-09-02 14:10:00" "2023-09-02 13:50:00"
29400 4.34098 9.23467 4.00000 "2023-09-02 14:10:00" "2023-09-02 14:00:00"
29400 4.34098 9.23467 4.00000 "2023-09-02 14:10:00" "2023-09-02 14:10:00"
30000 4.52951 8.74322 4.00000 "2023-09-02 14:20:00" "2023-09-02 13:30:00"
30000 4.52951 8.74322 3.90000 "2023-09-02 14:20:00" "2023-09-02 13:40:00"
30000 4.52951 8.74322 4.00000 "2023-09-02 14:20:00" "2023-09-02 13:50:00"
30000 4.52951 8.74322 4.00000 "2023-09-02 14:20:00" "2023-09-02 14:00:00"
30000 4.52951 8.74322 4.00000 "2023-09-02 14:20:00" "2023-09-02 14:10:00"
30000 4.52951 8.74322 4.00000 "2023-09-02 14:20:00" "2023-09-02 14:20:00"
30600 4.69672 8.26092 3.90000 "2023-09-02 14:30:00" "2023-09-02 13:40:00"
30600 4.69672 8.26092 4.00000 "2023-09-02 14:30:00" "2023-09-02 13:50:00"
30600 4.69672 8.26092 4.00000 "2023-09-02 14:30:00" "2023-09-02 14:00:00"
30600 4.69672 8.26092 4.00000 "2023-09-02 14:30:00" "2023-09-02 14:10:00"
30600 4.69672 8.26092 4.00000 "2023-09-02 14:30:00" "2023-09-02 14:20:00"
30600 4.69672 8.26092 4.50000 "2023-09-02 14:30:00" "2023-09-02 14:30:00"
31200 4.87049 7.94293 4.00000 "2023-09-02 14:40:00" "2023-09-02 13:50:00"
31200 4.87049 7.94293 4.00000 "2023-09-02 14:40:00" "2023-09-02 14:00:00"
31200 4.87049 7.94293 4.00000 "2023-09-02 14:40:00" "2023-09-02 14:10:00"
31200 4.87049 7.94293 4.00000 "2023-09-02 14:40:00" "2023-09-02 14:20:00"
31200 4.87049 7.94293 4.50000 "2023-09-02 14:40:00" "2023-09-02 14:30:00"
31200 4.87049 7.94293 5.00000 "2023-09-02 14:40:00" "2023-09-02 14:40:00"
31800 5.14098 7.72717 4.00000 "2023-09-02 14:50:00" "2023-09-02 14:00:00"
31800 5.14098 7.72717 4.00000 "2023-09-02 14:50:00" "2023-09-02 14:10:00"
31800 5.14098 7.72717 4.00000 "2023-09-02 14:50:00" "2023-09-02 14:20:00"
31800 5.14098 7.72717 4.50000 "2023-09-02 14:50:00" "2023-09-02 14:30:00"
31800 5.14098 7.72717 5.00000 "2023-09-02 14:50:00" "2023-09-02 14:40:00"
31800 5.14098 7.72717 5.20000 "2023-09-02 14:50:00" "2023-09-02 14:50:00"
32400 5.33279 7.61836 4.00000 "2023-09-02 15:00:00" "2023-09-02 14:10:00"
